index,word,ort,pho,wf,wn_idx,adjusted_wf
95,balks,__ba_lks__,_balks_,31.0,99.0,31.0
96,ball,__ba_ll___,_bal___,1393.0,100.0,1393.0
97,balls,__ba_lls__,_balz__,196.0,101.0,196.0
98,balm,__ba_lm___,_bam___,31.0,102.0,31.0
99,balms,__ba_lms__,_bamz__,0.0,103.0,0.0
100,ban,__ba_n____,_b@n___,2298.0,104.0,2298.0
101,band,__ba_nd___,_b@nd__,900.0,105.0,900.0
102,bands,__ba_nds__,_b@ndz_,163.0,106.0,163.0
103,bane,__ba_ne___,_ben___,38.0,107.0,38.0
104,banes,__ba_nes__,_benz__,1.0,108.0,1.0
105,bang,__ba_ng___,_b@ng__,346.0,109.0,346.0
106,banged,__ba_nged_,_b@ngd_,17.0,110.0,17.0
107,bangs,__ba_ngs__,_b@ngz_,20.0,111.0,20.0
108,bank,__ba_nk___,_b@nk__,53170.0,112.0,53170.0
109,banks,__ba_nks__,_b@nks_,24293.0,113.0,24293.0
110,bans,__ba_ns___,_b@nz__,263.0,114.0,263.0
111,bar,__ba_r____,_bar___,2199.0,115.0,2199.0
112,barb,__ba_rb___,_barb__,19.0,116.0,19.0
113,barbs,__ba_rbs__,_barbz_,43.0,117.0,43.0
114,bard,__ba_rd___,_bard__,68.0,118.0,68.0
115,bards,__ba_rds__,_bardz_,2.0,119.0,2.0
116,bare,__ba_re___,_bEr___,261.0,120.0,261.0
117,barge,__ba_rge__,_barJ__,170.0,121.0,170.0
118,bark,__ba_rk___,_bark__,61.0,122.0,61.0
119,barked,__ba_rked_,_barkt_,9.0,123.0,9.0
120,barks,__ba_rks__,_barks_,19.0,124.0,19.0
121,barn,__ba_rn___,_barn__,161.0,126.0,161.0
122,barns,__ba_rns__,_barnz_,31.0,127.0,31.0
123,bars,__ba_rs___,_barz__,767.0,128.0,767.0
124,base,__ba_se___,_bes___,6018.0,129.0,6018.0
125,based,__ba_sed__,_best__,53865.0,130.0,53865.0
126,bash,__ba_sh___,_b@S___,114.0,131.0,114.0
127,bask,__ba_sk___,_b@sk__,21.0,132.0,21.0
128,basked,__ba_sked_,_b@skt_,10.0,133.0,10.0
129,basks,__ba_sks__,_b@sks_,1.0,134.0,1.0
130,bast,__ba_st___,_b@st__,4.0,137.0,4.0
131,baste,__ba_ste__,_best__,0.0,138.0,0.0
132,bastes,__ba_stes_,_bests_,0.0,139.0,0.0
133,bat,__ba_t____,_b@t___,1468.0,140.0,1468.0
134,batch,__ba_tch__,_b@tC__,182.0,141.0,182.0
135,bate,__ba_te___,_bet___,1.0,142.0,1.0
136,bath,__ba_th___,_b@T___,272.0,143.0,272.0
137,bathe,__ba_the__,_beD___,17.0,144.0,17.0
138,bathed,__ba_thed_,_beDd__,34.0,145.0,34.0
139,bathes,__ba_thes_,_beDz__,7.0,146.0,7.0
140,baths,__ba_ths__,_b@Dz__,47.0,147.0,47.0
141,bats,__ba_ts___,_b@ts__,79.0,148.0,79.0
142,bawl,__bawl____,_bal___,0.0,149.0,0.0
143,bawled,__bawled__,_bald__,0.0,150.0,0.0
144,bawls,__bawls___,_balz__,2.0,151.0,2.0
145,bay,__bay_____,_be____,1452.0,152.0,1452.0
146,bays,__bays____,_bez___,66.0,153.0,66.0
147,be,__be______,_bi____,203275.0,154.0,203275.0
148,beach,__beach___,_biC___,1691.0,155.0,1691.0
149,bead,__bead____,_bid___,12.0,156.0,12.0
150,beads,__beads___,_bidz__,77.0,157.0,77.0
151,beak,__beak____,_bik___,10.0,158.0,10.0
152,beaks,__beaks___,_biks__,3.0,159.0,3.0
153,beam,__beam____,_bim___,267.0,160.0,267.0
154,beams,__beams___,_bimz__,142.0,161.0,142.0
155,bean,__bean____,_bin___,200.0,162.0,200.0
156,beans,__beans___,_binz__,301.0,163.0,301.0
157,bear,__bear____,_bEr___,3520.0,164.0,3520.0
158,beard,__beard___,_bird__,210.0,165.0,210.0
159,beards,__beards__,_birdz_,20.0,166.0,20.0
160,bears,__bears___,_bErz__,740.0,167.0,740.0
161,beast,__beast___,_bist__,96.0,168.0,96.0
162,beasts,__beasts__,_bists_,42.0,169.0,42.0
163,beat,__beat____,_bit___,1315.0,170.0,657.5
164,beat,__beat____,_bit___,1315.0,171.0,657.5
165,beats,__beats___,_bits__,117.0,172.0,117.0
166,beau,__beau____,_bo____,31.0,173.0,31.0
167,beaus,__beaus___,_boz___,1.0,174.0,1.0
168,beck,__be_ck___,_bEk___,135.0,175.0,135.0
169,becks,__be_cks__,_bEks__,0.0,176.0,0.0
170,bed,__be_d____,_bEd___,665.0,177.0,665.0
171,beds,__be_ds___,_bEdz__,300.0,178.0,300.0
172,bee,__bee_____,_bi____,191.0,179.0,191.0
173,beech,__beech___,_biC___,184.0,180.0,184.0
174,beef,__beef____,_bif___,1327.0,181.0,1327.0
175,beefs,__beefs___,_bifs__,10.0,182.0,10.0
176,beep,__beep____,_bip___,23.0,183.0,23.0
177,beeps,__beeps___,_bips__,7.0,184.0,7.0
178,beer,__beer____,_bir___,1618.0,185.0,1618.0
179,beers,__beers___,_birz__,304.0,186.0,304.0
180,bees,__bees____,_biz___,110.0,187.0,110.0
181,beet,__beet____,_bit___,111.0,188.0,111.0
182,beets,__beets___,_bits__,39.0,189.0,39.0
183,beg,__be_g____,_bEg___,67.0,190.0,67.0
184,begged,__be_gged_,_bEgd__,51.0,191.0,51.0
185,begs,__be_gs___,_bEgz__,46.0,192.0,46.0
186,beige,__beige___,_beZ___,43.0,193.0,43.0
187,belch,__be_lch__,_bElC__,9.0,194.0,9.0
188,bell,__be_ll___,_bEl___,4691.0,195.0,4691.0
189,belle,__be_lle__,_bEl___,52.0,196.0,52.0
190,belles,__be_lles_,_bElz__,1.0,197.0,1.0
191,bells,__be_lls__,_bElz__,476.0,198.0,476.0
192,belt,__be_lt___,_bElt__,987.0,199.0,987.0
193,belts,__be_lts__,_bElts_,314.0,200.0,314.0
194,bench,__be_nch__,_bEnC__,382.0,202.0,382.0
195,bend,__be_nd___,_bEnd__,320.0,203.0,320.0
196,bends,__be_nds__,_bEndz_,19.0,204.0,19.0
197,bent,__be_nt___,_bEnt__,299.0,205.0,299.0
198,berg,__be_rg___,_b^rg__,207.0,206.0,207.0
199,bergs,__be_rgs__,_b^rgz_,0.0,207.0,0.0
200,berth,__be_rth__,_b^rT__,27.0,208.0,27.0
201,berths,__be_rths_,_b^rTs_,27.0,209.0,27.0
202,best,__be_st___,_bEst__,11512.0,210.0,11512.0
203,bet,__be_t____,_bEt___,1012.0,211.0,506.0
204,bet,__be_t____,_bEt___,1012.0,212.0,506.0
205,bets,__be_ts___,_bEts__,350.0,213.0,350.0
206,bey,__bey_____,_be____,1.0,214.0,1.0
207,bib,__bi_b____,_bIb___,5.0,215.0,5.0
208,bibs,__bi_bs___,_bIbz__,2.0,216.0,2.0
209,bid,__bi_d____,_bId___,20125.0,217.0,20125.0
210,bide,__bi_de___,_bAd___,11.0,218.0,11.0
211,bids,__bi_ds___,_bIdz__,3349.0,219.0,3349.0
212,bier,__bier____,_bir___,2.0,220.0,2.0
213,biers,__biers___,_birz__,0.0,221.0,0.0
214,biff,__bi_ff___,_bIf___,12.0,222.0,12.0
215,big,__bi_g____,_bIg___,28257.0,223.0,28257.0
216,bike,__bi_ke___,_bAk___,153.0,226.0,153.0
217,bikes,__bi_kes__,_bAks__,92.0,227.0,92.0
218,bile,__bi_le___,_bAl___,21.0,228.0,21.0
219,biles,__bi_les__,_bAlz__,0.0,229.0,0.0
220,bilge,__bi_lge__,_bIlJ__,2.0,230.0,2.0
221,bilk,__bi_lk___,_bIlk__,15.0,231.0,15.0
222,bilked,__bi_lked_,_bIlkt_,48.0,232.0,48.0
223,bilks,__bi_lks__,_bIlks_,2.0,233.0,2.0
224,bill,__bi_ll___,_bIl___,14420.0,234.0,14420.0
225,bills,__bi_lls__,_bIlz__,5647.0,235.0,5647.0
226,bin,__bi_n____,_bIn___,55.0,236.0,55.0
227,bind,__bi_nd___,_bAnd__,217.0,237.0,217.0
228,binds,__bi_nds__,_bAndz_,39.0,238.0,39.0
229,binge,__bi_nge__,_bInJ__,250.0,240.0,250.0
230,bins,__bi_ns___,_bInz__,49.0,241.0,49.0
231,birch,__bi_rch__,_b^rC__,104.0,242.0,104.0
232,bird,__bi_rd___,_b^rd__,469.0,243.0,469.0
233,birds,__bi_rds__,_b^rdz_,358.0,244.0,358.0
234,birth,__bi_rth__,_b^rT__,993.0,245.0,993.0
235,births,__bi_rths_,_b^rTs_,179.0,246.0,179.0
236,bisque,__bi_sque_,_bIsk__,2.0,247.0,2.0
237,bit,__bi_t____,_bIt___,3372.0,248.0,3372.0
238,bitch,__bi_tch__,_bItC__,34.0,249.0,34.0
239,bite,__bi_te___,_bAt___,399.0,250.0,399.0
240,bits,__bi_ts___,_bIts__,286.0,251.0,286.0
241,biz,__bi_z____,_bIz___,43.0,252.0,43.0
242,blab,_bla_b____,bl@b___,0.0,253.0,0.0
243,blabbed,_bla_bbed_,bl@bd__,0.0,254.0,0.0
244,blabs,_bla_bs___,bl@bz__,1.0,255.0,1.0
245,black,_bla_ck___,bl@k___,9765.0,256.0,9765.0
246,blade,_bla_de___,bled___,118.0,257.0,118.0
247,blades,_bla_des__,bledz__,185.0,258.0,185.0
248,blah,_blah_____,bla____,10.0,259.0,10.0
249,blame,_bla_me___,blem___,1432.0,260.0,1432.0
250,blamed,_bla_med__,blemd__,1463.0,261.0,1463.0
251,blames,_bla_mes__,blemz__,306.0,262.0,306.0
252,blanch,_bla_nch__,bl@nC__,17.0,263.0,17.0
253,blanched,_bla_nched,bl@nCt_,5.0,264.0,5.0
254,bland,_bla_nd___,bl@nd__,116.0,265.0,116.0
255,blank,_bla_nk___,bl@nk__,250.0,266.0,250.0
256,blare,_bla_re___,blEr___,11.0,267.0,11.0
257,blared,_bla_red__,blErd__,16.0,268.0,16.0
258,blares,_bla_res__,blErz__,25.0,269.0,25.0
259,blast,_bla_st___,bl@st__,276.0,270.0,276.0
260,blasts,_bla_sts__,bl@sts_,66.0,271.0,66.0
261,blaze,_bla_ze___,blez___,75.0,272.0,75.0
262,blazed,_bla_zed__,blezd__,9.0,273.0,9.0
263,bleach,_bleach___,bliC___,61.0,274.0,61.0
264,bleached,_bleached_,bliCt__,47.0,275.0,47.0
265,bleak,_bleak____,blik___,276.0,276.0,276.0
266,bleat,_bleat____,blit___,1.0,277.0,1.0
267,bleats,_bleats___,blits__,0.0,278.0,0.0
268,bled,_ble_d____,blEd___,32.0,279.0,32.0
269,bleed,_bleed____,blid___,40.0,280.0,40.0
270,bleeds,_bleeds___,blidz__,18.0,281.0,18.0
271,bleep,_bleep____,blip___,15.0,282.0,15.0
272,bleeps,_bleeps___,blips__,4.0,283.0,4.0
273,blend,_ble_nd___,blEnd__,268.0,285.0,268.0
274,blends,_ble_nds__,blEndz_,61.0,286.0,61.0
275,bless,_ble_ss___,blEs___,42.0,287.0,42.0
276,blessed,_ble_ssed_,blEst__,91.0,288.0,91.0
277,blew,_blew_____,blu____,222.0,289.0,222.0
278,blight,_bli_ght__,blAt___,39.0,290.0,39.0
279,blights,_bli_ghts_,blAts__,3.0,291.0,3.0
280,blimp,_bli_mp___,blImp__,88.0,292.0,88.0
281,blimps,_bli_mps__,blImps_,38.0,293.0,38.0
282,blind,_bli_nd___,blAnd__,550.0,294.0,550.0
283,blink,_bli_nk___,blInk__,53.0,295.0,53.0
284,blinked,_bli_nked_,blInkt_,23.0,296.0,23.0
285,blinks,_bli_nks__,blInks_,16.0,297.0,16.0
286,blip,_bli_p____,blIp___,102.0,298.0,102.0
287,blips,_bli_ps___,blIps__,34.0,299.0,34.0
288,bliss,_bli_ss___,blIs___,51.0,300.0,51.0
289,blithe,_bli_the__,blAT___,22.0,301.0,22.0
290,blitz,_bli_tz___,blIts__,176.0,302.0,176.0
291,bloat,_bloat____,blot___,8.0,303.0,8.0
292,bloats,_bloats___,blots__,1.0,304.0,1.0
293,blob,_blo_b____,blab___,16.0,305.0,16.0
294,blobs,_blo_bs___,blabz__,3.0,306.0,3.0
295,bloc,_blo_c____,blak___,1008.0,307.0,1008.0
296,block,_blo_ck___,blak___,4366.0,308.0,4366.0
297,blocks,_blo_cks__,blaks__,919.0,309.0,919.0
298,blocs,_blo_cs___,blaks__,38.0,310.0,38.0
299,bloke,_blo_ke___,blok___,3.0,311.0,3.0
300,blokes,_blo_kes__,bloks__,8.0,312.0,8.0
301,blond,_blo_nd___,bland__,168.0,313.0,168.0
302,blonde,_blo_nde__,bland__,76.0,314.0,76.0
303,blood,_blood____,bl^d___,2656.0,315.0,2656.0
304,bloods,_bloods___,bl^dz__,14.0,316.0,14.0
305,bloom,_bloom____,blum___,344.0,317.0,344.0
306,bloomed,_bloomed__,blumd__,10.0,318.0,10.0
307,blooms,_blooms___,blumz__,21.0,319.0,21.0
308,blot,_blo_t____,blat___,41.0,320.0,41.0
309,blotch,_blo_tch__,blatC__,5.0,321.0,5.0
310,blots,_blo_ts___,blats__,6.0,322.0,6.0
311,blouse,_blouse___,blWs___,22.0,323.0,22.0
312,blow,_blow_____,blo____,1174.0,324.0,1174.0
313,blows,_blows____,bloz___,167.0,325.0,167.0
314,blue,_blue_____,blu____,4164.0,326.0,4164.0
315,blues,_blues____,bluz___,263.0,327.0,263.0
316,bluff,_blu_ff___,bl^f___,89.0,328.0,89.0
317,bluffs,_blu_ffs__,bl^fs__,16.0,329.0,16.0
318,blunt,_blu_nt___,bl^nt__,402.0,330.0,402.0
319,blur,_blu_r____,bl^r___,72.0,331.0,72.0
320,blurb,_blu_rb___,bl^rb__,17.0,332.0,17.0
321,blurred,_blu_rred_,bl^rd__,59.0,333.0,59.0
322,blurs,_blu_rs___,bl^rz__,18.0,334.0,18.0
323,blurt,_blu_rt___,bl^rt__,6.0,335.0,6.0
324,blurts,_blu_rts__,bl^rts_,9.0,336.0,9.0
325,blush,_blu_sh___,bl^S___,54.0,337.0,54.0
326,blushed,_blu_shed_,bl^St__,0.0,338.0,0.0
327,boar,__boar____,_bor___,6.0,339.0,6.0
328,board,__board___,_bord__,30768.0,340.0,30768.0
329,boards,__boards__,_bordz_,1218.0,341.0,1218.0
330,boars,__boars___,_borz__,5.0,342.0,5.0
331,boast,__boast___,_bost__,188.0,343.0,188.0
332,boasts,__boasts__,_bosts_,372.0,344.0,372.0
333,boat,__boat____,_bot___,880.0,345.0,880.0
334,boats,__boats___,_bots__,489.0,346.0,489.0
335,bob,__bo_b____,_bab___,1414.0,347.0,1414.0
336,bobbed,__bo_bbed_,_babd__,5.0,348.0,5.0
337,bobs,__bo_bs___,_babz__,3.0,349.0,3.0
338,bock,__bo_ck___,_bak___,12.0,350.0,12.0
339,bocks,__bo_cks__,_baks__,0.0,351.0,0.0
340,bod,__bo_d____,_bad___,2.0,352.0,2.0
341,bode,__bo_de___,_bod___,178.0,353.0,178.0
342,bog,__bo_g____,_bag___,38.0,354.0,38.0
343,boil,__boil____,_bOl___,81.0,355.0,81.0
344,boiled,__boiled__,_bOld__,68.0,356.0,68.0
345,boils,__boils___,_bOlz__,72.0,357.0,72.0
346,bold,__bo_ld___,_bold__,564.0,358.0,564.0
347,bolt,__bo_lt___,_bolt__,126.0,363.0,126.0
348,bolts,__bo_lts__,_bolts_,138.0,364.0,138.0
349,bomb,__bo_mb___,_bam___,779.0,365.0,779.0
350,bombs,__bo_mbs__,_bamz__,360.0,366.0,360.0
351,bond,__bo_nd___,_band__,16194.0,367.0,16194.0
352,bonds,__bo_nds__,_bandz_,21743.0,368.0,21743.0
353,bone,__bo_ne___,_bon___,395.0,369.0,395.0
354,bones,__bo_nes__,_bonz__,255.0,370.0,255.0
355,boo,__boo_____,_bu____,34.0,371.0,34.0
356,book,__book____,_bUk___,6882.0,372.0,6882.0
357,books,__books___,_bUks__,3578.0,373.0,3578.0
358,boom,__boom____,_bum___,1960.0,374.0,1960.0
359,booms,__booms___,_bumz__,82.0,375.0,82.0
360,boon,__boon____,_bun___,167.0,376.0,167.0
361,boons,__boons___,_bunz__,1.0,377.0,1.0
362,boor,__boor____,_bor___,3.0,378.0,3.0
363,boors,__boors___,_borz__,8.0,379.0,8.0
364,boos,__boos____,_buz___,26.0,380.0,26.0
365,boost,__boost___,_bust__,5847.0,381.0,5847.0
366,boosts,__boosts__,_busts_,410.0,382.0,410.0
367,boot,__boot____,_but___,187.0,383.0,187.0
368,booth,__booth___,_buT___,226.0,384.0,226.0
369,booths,__booths__,_buTs__,76.0,385.0,76.0
370,boots,__boots___,_buts__,278.0,386.0,278.0
371,booze,__booze___,_buz___,54.0,387.0,54.0
372,bop,__bo_p____,_bap___,29.0,388.0,29.0
373,bops,__bo_ps___,_baps__,1.0,389.0,1.0
374,boss,__bo_ss___,_bas___,1098.0,391.0,1098.0
375,botch,__bo_tch__,_batC__,6.0,392.0,6.0
376,both,__bo_th___,_boT___,25695.0,393.0,25695.0
377,bough,__bough___,_bW____,2.0,394.0,2.0
378,boughs,__boughs__,_bWz___,6.0,395.0,6.0
379,bought,__bought__,_bat___,8447.0,396.0,8447.0
380,bounce,__bounce__,_bWns__,272.0,397.0,272.0
381,bounced,__bounced_,_bWnst_,320.0,398.0,320.0
382,bound,__bound___,_bWnd__,1064.0,399.0,1064.0
383,bourn,__bourn___,_born__,0.0,400.0,0.0
384,bout,__bout____,_bWt___,209.0,402.0,209.0
385,bouts,__bouts___,_bWts__,89.0,403.0,89.0
386,bow,__bow_____,_bo____,445.0,404.0,445.0
387,bowl,__bowl____,_bol___,462.0,405.0,462.0
388,bowls,__bowls___,_bolz__,61.0,406.0,61.0
389,bows,__bows____,_boz___,54.0,407.0,54.0
390,box,__bo_x____,_baks__,1497.0,408.0,1497.0
391,boy,__boy_____,_bO____,1055.0,409.0,1055.0
392,boys,__boys____,_bOz___,880.0,410.0,880.0
393,bra,_bra______,bra____,36.0,411.0,36.0
394,brace,_bra_ce___,bres___,280.0,412.0,280.0
395,brad,_bra_d____,br@d___,84.0,414.0,84.0
396,brads,_bra_ds___,br@dz__,0.0,415.0,0.0
397,brag,_bra_g____,br@g___,47.0,416.0,47.0
398,bragged,_bra_gged_,br@gd__,35.0,417.0,35.0
399,brags,_bra_gs___,br@gz__,44.0,418.0,44.0
400,braid,_braid____,bred___,7.0,419.0,7.0
401,braids,_braids___,bredz__,13.0,420.0,13.0
402,braille,_braille__,brel___,19.0,421.0,19.0
403,brain,_brain____,bren___,712.0,423.0,712.0
404,brains,_brains___,brenz__,173.0,424.0,173.0
405,braise,_braise___,brez___,0.0,425.0,0.0
406,brake,_bra_ke___,brek___,347.0,426.0,347.0
407,brakes,_bra_kes__,breks__,260.0,427.0,260.0
408,bran,_bra_n____,br@n___,69.0,428.0,69.0
409,branch,_bra_nch__,br@nC__,2389.0,429.0,2389.0
410,brand,_bra_nd___,br@nd__,2511.0,430.0,2511.0
411,brands,_bra_nds__,br@ndz_,2762.0,431.0,2762.0
412,brans,_bra_ns___,br@nz__,1.0,432.0,1.0
413,brash,_bra_sh___,br@S___,111.0,433.0,111.0
414,brass,_bra_ss___,br@s___,291.0,434.0,291.0
415,brat,_bra_t____,br@t___,27.0,435.0,27.0
416,brats,_bra_ts___,br@ts__,8.0,436.0,8.0
417,brave,_bra_ve___,brev___,197.0,437.0,197.0
418,brawl,_brawl____,bral___,47.0,438.0,47.0
419,brawls,_brawls___,bralz__,10.0,439.0,10.0
420,brawn,_brawn____,bran___,10.0,440.0,10.0
421,brawns,_brawns___,branz__,0.0,441.0,0.0
422,bray,_bray_____,bre____,27.0,442.0,27.0
423,brayed,_brayed___,bred___,0.0,443.0,0.0
424,brays,_brays____,brez___,2.0,444.0,2.0
425,braze,_bra_ze___,brez___,0.0,445.0,0.0
426,breach,_breach___,briC___,672.0,446.0,672.0
427,bread,_bread____,brEd___,457.0,447.0,457.0
428,breads,_breads___,brEdz__,13.0,448.0,13.0
429,breadth,_breadth__,brEdT__,153.0,449.0,153.0
430,breadths,_breadths_,brEdTs_,0.0,450.0,0.0
431,break,_break____,brek___,3571.0,451.0,3571.0
432,breast,_breast___,brEst__,288.0,452.0,288.0
433,breasts,_breasts__,brEsts_,46.0,453.0,46.0
434,breath,_breath___,brET___,245.0,454.0,245.0
435,breathe,_breathe__,briD___,136.0,455.0,136.0
436,breaths,_breaths__,brETs__,7.0,456.0,7.0
437,breech,_breech___,briC___,11.0,457.0,11.0
438,breed,_breed____,brid___,320.0,458.0,320.0
439,breeds,_breeds___,bridz__,81.0,459.0,81.0
440,breeze,_breeze___,briz___,98.0,460.0,98.0
441,brew,_brew_____,bru____,94.0,462.0,94.0
442,brews,_brews____,bruz___,23.0,463.0,23.0
443,bribe,_bri_be___,brAb___,182.0,464.0,182.0
444,bribed,_bri_bed__,brAbd__,80.0,465.0,80.0
445,bribes,_bri_bes__,brAbz__,240.0,466.0,240.0
446,brick,_bri_ck___,brIk___,301.0,467.0,301.0
447,bricks,_bri_cks__,brIks__,93.0,468.0,93.0
448,bride,_bri_de___,brAd___,102.0,469.0,102.0
449,brides,_bri_des__,brAdz__,24.0,470.0,24.0
450,bridge,_bri_dge__,brIJ___,1301.0,471.0,1301.0
451,brief,_brief____,brif___,1710.0,472.0,1710.0
452,bright,_bri_ght__,brAt___,974.0,475.0,974.0
453,brigs,_bri_gs___,brIgz__,0.0,476.0,0.0
454,brill,_bri_ll___,brIl___,54.0,477.0,54.0
455,brim,_bri_m____,brIm___,23.0,478.0,23.0
456,brims,_bri_ms___,brImz__,5.0,479.0,5.0
457,brine,_bri_ne___,brAn___,17.0,480.0,17.0
458,bring,_bri_ng___,brIng__,5246.0,481.0,5246.0
459,brings,_bri_ngs__,brIngz_,1162.0,482.0,1162.0
460,brink,_bri_nk___,brInk__,242.0,483.0,242.0
461,brinks,_bri_nks__,brInks_,3.0,484.0,3.0
462,brisk,_bri_sk___,brIsk__,557.0,485.0,557.0
463,broach,_broach___,broC___,10.0,486.0,10.0
464,broached,_broached_,broCt__,43.0,487.0,43.0
465,broad,_broad____,brad___,3234.0,488.0,3234.0
467,brogue,_bro_gue__,brog___,4.0,489.0,4.0
468,broil,_broil____,brOl___,2.0,490.0,2.0
