,word,ort,pho,wf,sfi,d,u,f,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,gr10,gr11,gr12,gr13,gr14,img,wn_idx
28,ales,___a_les__,___elz____,9.0,25.10000038,0.0,0.032600001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.193220934316819,29
29,all,___a_ll___,___al_____,62510.0,75.30000305,0.9929999709999999,3370.0,58535.0,3931.0,3788.0,3965.0,3806.0,3699.0,3561.0,3472.0,3367.0,3283.0,3150.0,3026.0,2924.0,2546.0,58535.0,2.3,30
30,alms,___a_lms__,___almz___,9.0,33.29999924,0.18919999899999998,0.214100003,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.3,31
31,alp,___a_lp___,___@lp____,3.0,26.89999962,0.0,0.048799999000000004,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,32
32,alps,___a_lps__,___@lps___,64.0,46.90000153,0.612299979,4.0,123.0,0.0,0.0,0.0,2.0,5.0,7.0,6.0,5.0,6.0,5.0,4.0,6.0,2.0,123.0,4.193220934316819,33
33,am,___a_m____,___@m_____,6097.0,62.90000153,0.6586999889999999,195.0,4489.0,1115.0,560.0,379.0,346.0,234.0,186.0,166.0,158.0,144.0,121.0,109.0,89.0,30.0,4489.0,1.8,34
34,amp,___a_mp___,___@mp____,58.0,27.79999924,0.191300005,0.060800001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.193220934316819,35
35,an,___a_n____,___@n_____,182440.0,74.90000153,0.987900019,3096.0,54019.0,866.0,1281.0,1810.0,1978.0,2586.0,2866.0,3035.0,3172.0,3296.0,3577.0,3675.0,3872.0,4425.0,54019.0,1.2,36
36,and,___a_nd___,___@nd____,909157.0,84.40000153,0.9972000120000001,27594.0,477715.0,17513.0,19697.0,24657.0,25476.0,28032.0,28491.0,28675.0,28740.0,28734.0,28473.0,28331.0,27976.0,29314.0,477715.0,1.3,37
37,angst,___a_ngst_,___@ngst__,68.0,13.5,0.0,0.0023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.193220934316819,38
38,ant,___a_nt___,___@nt____,18.0,49.5,0.457399994,9.0,261.0,114.0,27.0,13.0,11.0,8.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,0.0,261.0,6.7,39
39,ants,___a_nts__,___@nts___,29.0,52.0,0.6114000079999999,15.0,389.0,59.0,31.0,17.0,18.0,17.0,14.0,14.0,11.0,10.0,10.0,9.0,9.0,4.0,389.0,4.193220934316819,40
40,ape,___a_pe___,___ep_____,18.0,47.40000153,0.550100029,5.0,143.0,19.0,11.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,143.0,6.8,41
41,apes,___a_pes__,___eps____,10.0,47.0,0.673399985,5.0,117.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,6.0,117.0,4.193220934316819,42
42,apse,___a_pse__,___@ps____,1.0,29.89999962,0.0,0.09790000300000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.3,43
43,apt,___a_pt___,___@pt____,239.0,49.40000153,0.866400003,8.0,167.0,0.0,0.0,1.0,0.0,2.0,5.0,7.0,7.0,9.0,11.0,11.0,11.0,16.0,167.0,1.9,44
44,arc,___a_rc___,___ark____,245.0,46.79999924,0.271800011,4.0,230.0,0.0,0.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,6.0,5.0,7.0,6.0,230.0,5.0,45
45,arch,___a_rch__,___arC____,184.0,49.90000153,0.771000028,9.0,204.0,1.0,6.0,4.0,5.0,3.0,3.0,3.0,8.0,8.0,12.0,13.0,14.0,4.0,204.0,5.1,46
46,arcs,___a_rcs__,___arks___,16.0,37.40000153,0.173899993,0.5529999729999999,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.193220934316819,47
47,are,___a_re___,___ar_____,177808.0,77.90000153,0.9557999970000001,6184.0,110918.0,4359.0,3489.0,4336.0,4564.0,5293.0,5635.0,5827.0,6013.0,6210.0,6589.0,6799.0,7225.0,8116.0,110918.0,1.3,48
48,ark,___a_rk___,___ark____,446.0,43.09999847,0.478599995,2.0,57.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,57.0,5.7,50
49,arks,___a_rks__,___arks___,4.0,25.10000038,0.0,0.032600001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.193220934316819,51
50,arm,___a_rm___,___arm____,1912.0,60.40000153,0.8575999740000001,108.0,2105.0,180.0,189.0,161.0,145.0,131.0,118.0,112.0,105.0,101.0,85.0,76.0,63.0,26.0,2105.0,6.8,52
51,arms,___a_rms__,___armz___,6684.0,60.90000153,0.8690000179999999,122.0,2341.0,110.0,150.0,166.0,166.0,141.0,138.0,126.0,126.0,120.0,113.0,105.0,93.0,50.0,2341.0,4.193220934316819,53
52,arse,___a_rse__,___ars____,1.0,22.10000038,0.0,0.0163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.193220934316819,54
53,art,___a_rt___,___art____,3920.0,57.29999924,0.453099996,53.0,1616.0,41.0,25.0,38.0,36.0,38.0,48.0,43.0,39.0,41.0,53.0,55.0,70.0,90.0,1616.0,4.6,55
54,arts,___a_rts__,___arts___,1109.0,52.40000153,0.744300008,17.0,379.0,1.0,1.0,1.0,2.0,4.0,6.0,5.0,8.0,9.0,13.0,17.0,23.0,46.0,379.0,4.0,56
55,as,___a_s____,___@z_____,255899.0,78.09999847,0.9980000259999999,6446.0,111540.0,2243.0,3346.0,4616.0,5049.0,6001.0,6364.0,6487.0,6632.0,6761.0,7029.0,7172.0,7399.0,8200.0,111540.0,1.4,57
56,ash,___a_sh___,___@S_____,165.0,50.79999924,0.8540999890000001,12.0,236.0,3.0,4.0,5.0,5.0,8.0,14.0,16.0,16.0,17.0,20.0,17.0,14.0,2.0,236.0,5.7,58
57,ask,___a_sk___,___@sk____,3500.0,62.79999924,0.9470999840000001,189.0,3419.0,339.0,309.0,266.0,242.0,213.0,186.0,177.0,166.0,166.0,155.0,145.0,137.0,81.0,3419.0,2.7,59
58,asked,___a_sked_,___@skt___,10178.0,67.40000153,0.7651000020000001,545.0,11389.0,2583.0,1681.0,1197.0,949.0,567.0,434.0,396.0,356.0,316.0,251.0,222.0,187.0,111.0,11389.0,4.193220934316819,60
59,asks,___a_sks__,___@sks___,1711.0,54.0,0.8519999979999999,24.0,487.0,76.0,53.0,27.0,23.0,19.0,18.0,19.0,20.0,17.0,16.0,15.0,15.0,11.0,487.0,4.193220934316819,61
60,asp,___a_sp___,___@sp____,2.0,22.10000038,0.0,0.0163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.193220934316819,62
61,asps,___a_sps__,___@sps___,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,63
62,ass,___a_ss___,___@s_____,27.0,40.09999847,0.138799995,1.0,47.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,47.0,6.0,64
63,at,___a_t____,___@t_____,241045.0,76.80000305,0.989899993,4743.0,82587.0,5635.0,5090.0,5491.0,5317.0,5236.0,5080.0,5005.0,4913.0,4820.0,4620.0,4510.0,4240.0,3367.0,82587.0,1.4,65
64,ate,___a_te___,___et_____,156.0,58.5,0.775600016,70.0,1454.0,207.0,168.0,139.0,128.0,95.0,78.0,69.0,58.0,53.0,37.0,32.0,19.0,9.0,1454.0,3.9,66
65,aught,___aught__,___at_____,0.0,37.20000076,0.317200005,0.527999997,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.193220934316819,67
66,aunt,___aunt___,___ant____,112.0,58.20000076,0.49869999299999995,65.0,1773.0,147.0,179.0,144.0,121.0,80.0,71.0,62.0,61.0,53.0,43.0,35.0,21.0,1.0,1773.0,6.2,68
67,aunts,___aunts__,___ants___,9.0,47.5,0.788299978,5.0,116.0,1.0,3.0,8.0,6.0,8.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,0.0,116.0,4.193220934316819,69
68,awe,___awe____,___a______,67.0,47.20000076,0.7136999959999999,5.0,115.0,0.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,115.0,2.3,70
69,awes,___awes___,___az_____,1.0,22.10000038,0.0,0.0163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.193220934316819,71
70,awl,___awl____,___al_____,0.0,37.20000076,0.393299997,0.5255,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.193220934316819,72
71,awls,___awls___,___alz____,0.0,32.40000153,0.449200004,0.172499999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.193220934316819,73
72,awn,___awn____,___an_____,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,74
73,ax,___a_x____,___@ks____,106.0,49.40000153,0.702000022,8.0,192.0,11.0,11.0,14.0,12.0,11.0,8.0,8.0,11.0,9.0,8.0,6.0,4.0,1.0,192.0,6.2,76
74,axe,___a_xe___,___@ks____,17.0,45.5,0.67750001,3.0,80.0,0.0,3.0,8.0,6.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,80.0,6.3,77
75,aye,___aye____,___A______,4.0,45.29999924,0.40250000399999997,3.0,103.0,2.0,7.0,8.0,8.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,103.0,1.7,78
76,babe,__ba_be___,__beb_____,38.0,46.59999847,0.273400009,4.0,167.0,6.0,16.0,11.0,7.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,167.0,5.7,79
77,babes,__ba_bes__,__bebz____,12.0,35.79999924,0.436800003,0.376599997,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.193220934316819,80
78,back,__ba_ck___,__b@k_____,23300.0,70.30000305,0.892199993,1074.0,20173.0,2096.0,1959.0,1784.0,1659.0,1425.0,1257.0,1161.0,1079.0,986.0,823.0,748.0,614.0,282.0,20173.0,5.0,81
79,bad,__ba_d____,__b@d_____,5766.0,62.40000153,0.9278,172.0,3154.0,421.0,301.0,236.0,216.0,169.0,159.0,154.0,148.0,143.0,136.0,128.0,106.0,76.0,3154.0,2.4,82
80,badge,__ba_dge__,__b@J_____,78.0,43.40000153,0.6015999910000001,2.0,54.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,54.0,5.9,83
81,bag,__ba_g____,__b@g_____,628.0,58.09999847,0.777199984,64.0,1342.0,252.0,170.0,124.0,123.0,72.0,61.0,48.0,42.0,44.0,33.0,28.0,21.0,7.0,1342.0,6.4,84
82,bags,__ba_gs___,__b@gz____,725.0,53.70000076,0.834800005,23.0,464.0,49.0,52.0,41.0,32.0,28.0,23.0,19.0,21.0,21.0,16.0,15.0,13.0,4.0,464.0,4.193220934316819,85
83,bail,__bail____,__bel_____,516.0,41.59999847,0.598100007,1.0,36.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,36.0,3.9,86
84,bails,__bails___,__belz____,6.0,27.39999962,0.310000002,0.055399999000000005,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.193220934316819,87
85,bait,__bait____,__bet_____,187.0,48.29999924,0.667800009,6.0,154.0,8.0,6.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,5.0,4.0,2.0,2.0,154.0,5.6,88
86,baits,__baits___,__bets____,7.0,32.0,0.440200001,0.159199998,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.193220934316819,89
87,bake,__ba_ke___,__bek_____,34.0,48.5,0.8220000270000001,7.0,141.0,52.0,12.0,7.0,6.0,7.0,8.0,6.0,6.0,3.0,3.0,2.0,0.0,0.0,141.0,5.1,91
88,baked,__ba_ked__,__bekt____,162.0,50.29999924,0.545099974,10.0,290.0,14.0,12.0,12.0,12.0,16.0,15.0,15.0,14.0,13.0,11.0,10.0,7.0,1.0,290.0,4.193220934316819,92
89,bakes,__ba_kes__,__beks____,71.0,37.59999847,0.562099993,0.5794000029999999,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.193220934316819,93
90,bald,__ba_ld___,__bald____,103.0,48.5,0.654299974,7.0,166.0,18.0,5.0,6.0,4.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,5.0,1.0,166.0,6.2,94
91,bale,__ba_le___,__bel_____,11.0,40.5,0.505299985,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.4,95
92,bales,__ba_les__,__belz____,252.0,43.79999924,0.573800027,2.0,61.0,0.0,0.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,61.0,4.193220934316819,96
93,balk,__ba_lk___,__balk____,126.0,35.20000076,0.43650001299999996,0.333400011,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.8,97
94,balked,__ba_lked_,__balkt___,292.0,37.79999924,0.482899994,0.607200027,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.193220934316819,98
95,balks,__ba_lks__,__balks___,31.0,27.70000076,0.31549999100000004,0.058800001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.193220934316819,99
96,ball,__ba_ll___,__bal_____,1393.0,61.90000153,0.8377000090000001,153.0,3039.0,587.0,304.0,248.0,212.0,180.0,161.0,156.0,139.0,139.0,107.0,95.0,75.0,30.0,3039.0,6.6,100
97,balls,__ba_lls__,__balz____,196.0,52.79999924,0.83950001,19.0,377.0,23.0,21.0,22.0,22.0,21.0,16.0,14.0,12.0,14.0,14.0,14.0,16.0,12.0,377.0,4.193220934316819,101
98,balm,__ba_lm___,__bam_____,31.0,33.5,0.14830000699999998,0.22480000600000002,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.3,102
99,balms,__ba_lms__,__bamz____,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,103
100,ban,__ba_n____,__b@n_____,2298.0,43.90000153,0.6385999920000001,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,60.0,2.9,104
101,band,__ba_nd___,__b@nd____,900.0,57.29999924,0.933600008,53.0,973.0,61.0,47.0,39.0,40.0,50.0,58.0,56.0,56.0,59.0,58.0,60.0,54.0,25.0,973.0,6.0,105
102,bands,__ba_nds__,__b@ndz___,163.0,53.0,0.908900023,20.0,373.0,6.0,8.0,11.0,12.0,19.0,20.0,22.0,19.0,19.0,19.0,19.0,23.0,19.0,373.0,4.193220934316819,106
103,bane,__ba_ne___,__ben_____,38.0,34.5,0.481700003,0.283899993,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.1,107
104,banes,__ba_nes__,__benz____,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193220934316819,108
105,bang,__ba_ng___,__b@ng____,346.0,49.59999847,0.564700007,9.0,232.0,64.0,22.0,16.0,11.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,2.0,232.0,3.7,109
106,banged,__ba_nged_,__b@ngd___,17.0,46.59999847,0.569899976,4.0,115.0,13.0,13.0,8.0,7.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,0.0,115.0,4.193220934316819,110
107,bangs,__ba_ngs__,__b@ngz___,20.0,43.59999847,0.3662,2.0,73.0,0.0,5.0,5.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,4.193220934316819,111
108,bank,__ba_nk___,__b@nk____,53170.0,59.70000076,0.71390003,93.0,2099.0,55.0,87.0,66.0,65.0,64.0,68.0,69.0,80.0,83.0,88.0,94.0,114.0,101.0,2099.0,6.1,112
109,banks,__ba_nks__,__b@nks___,24293.0,57.09999847,0.679899991,51.0,1192.0,4.0,15.0,22.0,26.0,30.0,35.0,38.0,41.0,40.0,44.0,51.0,63.0,91.0,1192.0,4.193220934316819,113
110,bans,__ba_ns___,__b@nz____,263.0,30.60000038,0.38159999299999997,0.114600003,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.193220934316819,114
111,bar,__ba_r____,__bar_____,2199.0,55.70000076,0.924000025,37.0,687.0,39.0,28.0,34.0,38.0,43.0,23.0,24.0,24.0,26.0,25.0,31.0,32.0,21.0,687.0,6.1,115
112,barb,__ba_rb___,__barb____,19.0,36.79999924,0.374900013,0.48050001299999995,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.3,116
113,barbs,__ba_rbs__,__barbz___,43.0,37.59999847,0.640299976,0.578700006,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.193220934316819,117
114,bard,__ba_rd___,__bard____,68.0,43.79999924,0.37419998600000004,2.0,76.0,0.0,0.0,2.0,4.0,4.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,76.0,4.193220934316819,118
115,bards,__ba_rds__,__bardz___,2.0,36.59999847,0.471300006,0.45969998799999995,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.193220934316819,119
116,bare,__ba_re___,__bEr_____,261.0,55.59999847,0.8488000040000001,35.0,701.0,13.0,26.0,37.0,44.0,47.0,49.0,48.0,48.0,44.0,39.0,31.0,27.0,9.0,701.0,3.9,120
117,barge,__ba_rge__,__barJ____,170.0,45.0,0.7052000159999999,3.0,70.0,5.0,6.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,70.0,5.7,121
118,bark,__ba_rk___,__bark____,61.0,55.20000076,0.743799984,33.0,711.0,58.0,47.0,45.0,37.0,39.0,41.0,39.0,35.0,33.0,29.0,27.0,22.0,9.0,711.0,5.0,122
119,barked,__ba_rked_,__barkt___,9.0,47.79999924,0.381300002,6.0,189.0,16.0,23.0,15.0,12.0,10.0,6.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,189.0,4.193220934316819,123
120,barks,__ba_rks__,__barks___,19.0,41.90000153,0.45989999200000004,1.0,44.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,44.0,4.193220934316819,124
121,barn,__ba_rn___,__barn____,161.0,55.5,0.62529999,35.0,853.0,50.0,81.0,79.0,72.0,54.0,43.0,40.0,33.0,27.0,19.0,16.0,9.0,1.0,853.0,6.9,126
122,barns,__ba_rns__,__barnz___,31.0,47.70000076,0.7707999940000001,5.0,122.0,0.0,2.0,5.0,5.0,5.0,8.0,7.0,8.0,8.0,8.0,7.0,5.0,1.0,122.0,4.193220934316819,127
123,bars,__ba_rs___,__barz____,767.0,53.40000153,0.91839999,22.0,407.0,13.0,15.0,19.0,19.0,20.0,25.0,24.0,22.0,19.0,17.0,20.0,19.0,10.0,407.0,4.193220934316819,128
124,base,__ba_se___,__bes_____,6018.0,58.20000076,0.8504999879999999,65.0,1293.0,20.0,26.0,31.0,33.0,40.0,49.0,54.0,62.0,68.0,70.0,79.0,85.0,96.0,1293.0,4.4,129
125,based,__ba_sed__,__best____,53865.0,59.59999847,0.9373999829999999,91.0,1664.0,1.0,0.0,3.0,10.0,31.0,38.0,47.0,56.0,67.0,91.0,98.0,131.0,250.0,1664.0,4.193220934316819,130
126,bash,__ba_sh___,__b@S_____,114.0,32.09999847,0.297100008,0.1611,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.2,131
127,bask,__ba_sk___,__b@sk____,21.0,35.70000076,0.616100013,0.37020000799999997,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.6,132
