,word,ort,pho,wf,img
40,ape,___a_pe___,___ep_____,18.0,6.8
41,apes,___a_pes__,___eps____,10.0,4.194245614035087
42,apse,___a_pse__,___@ps____,1.0,1.3
43,apt,___a_pt___,___@pt____,239.0,1.9
44,arc,___a_rc___,___ark____,245.0,5.0
45,arch,___a_rch__,___arC____,184.0,5.1
46,arcs,___a_rcs__,___arks___,16.0,4.194245614035087
47,are,___a_re___,___ar_____,177808.0,1.3
48,ark,___a_rk___,___ark____,446.0,5.7
49,arks,___a_rks__,___arks___,4.0,4.194245614035087
50,arm,___a_rm___,___arm____,1912.0,6.8
51,arms,___a_rms__,___armz___,6684.0,4.194245614035087
52,arse,___a_rse__,___ars____,1.0,4.194245614035087
53,art,___a_rt___,___art____,3920.0,4.6
54,arts,___a_rts__,___arts___,1109.0,4.0
55,as,___a_s____,___@z_____,255899.0,1.4
56,ash,___a_sh___,___@S_____,165.0,5.7
57,ask,___a_sk___,___@sk____,3500.0,2.7
58,asked,___a_sked_,___@skt___,10178.0,4.194245614035087
59,asks,___a_sks__,___@sks___,1711.0,4.194245614035087
60,asp,___a_sp___,___@sp____,2.0,4.194245614035087
61,asps,___a_sps__,___@sps___,0.0,4.194245614035087
62,ass,___a_ss___,___@s_____,27.0,6.0
63,at,___a_t____,___@t_____,241045.0,1.4
64,ate,___a_te___,___et_____,156.0,3.9
65,aught,___aught__,___at_____,0.0,4.194245614035087
66,aunt,___aunt___,___ant____,112.0,6.2
67,aunts,___aunts__,___ants___,9.0,4.194245614035087
68,awe,___awe____,___a______,67.0,2.3
69,awes,___awes___,___az_____,1.0,4.194245614035087
70,awl,___awl____,___al_____,0.0,4.194245614035087
71,awls,___awls___,___alz____,0.0,4.194245614035087
72,awn,___awn____,___an_____,0.0,4.194245614035087
73,ax,___a_x____,___@ks____,106.0,6.2
74,axe,___a_xe___,___@ks____,17.0,6.3
75,aye,___aye____,___A______,4.0,1.7
76,babe,__ba_be___,__beb_____,38.0,5.7
77,babes,__ba_bes__,__bebz____,12.0,4.194245614035087
78,back,__ba_ck___,__b@k_____,23300.0,5.0
79,bad,__ba_d____,__b@d_____,5766.0,2.4
80,badge,__ba_dge__,__b@J_____,78.0,5.9
81,bag,__ba_g____,__b@g_____,628.0,6.4
82,bags,__ba_gs___,__b@gz____,725.0,4.194245614035087
83,bail,__bail____,__bel_____,516.0,3.9
84,bails,__bails___,__belz____,6.0,4.194245614035087
85,bait,__bait____,__bet_____,187.0,5.6
86,baits,__baits___,__bets____,7.0,4.194245614035087
87,bake,__ba_ke___,__bek_____,34.0,5.1
88,baked,__ba_ked__,__bekt____,162.0,4.194245614035087
89,bakes,__ba_kes__,__beks____,71.0,4.194245614035087
90,bald,__ba_ld___,__bald____,103.0,6.2
91,bale,__ba_le___,__bel_____,11.0,3.4
92,bales,__ba_les__,__belz____,252.0,4.194245614035087
93,balk,__ba_lk___,__balk____,126.0,1.8
94,balked,__ba_lked_,__balkt___,292.0,4.194245614035087
95,balks,__ba_lks__,__balks___,31.0,4.194245614035087
96,ball,__ba_ll___,__bal_____,1393.0,6.6
97,balls,__ba_lls__,__balz____,196.0,4.194245614035087
98,balm,__ba_lm___,__bam_____,31.0,4.3
99,balms,__ba_lms__,__bamz____,0.0,4.194245614035087
100,ban,__ba_n____,__b@n_____,2298.0,2.9
101,band,__ba_nd___,__b@nd____,900.0,6.0
102,bands,__ba_nds__,__b@ndz___,163.0,4.194245614035087
103,bane,__ba_ne___,__ben_____,38.0,2.1
104,banes,__ba_nes__,__benz____,1.0,4.194245614035087
105,bang,__ba_ng___,__b@ng____,346.0,3.7
106,banged,__ba_nged_,__b@ngd___,17.0,4.194245614035087
107,bangs,__ba_ngs__,__b@ngz___,20.0,4.194245614035087
108,bank,__ba_nk___,__b@nk____,53170.0,6.1
109,banks,__ba_nks__,__b@nks___,24293.0,4.194245614035087
110,bans,__ba_ns___,__b@nz____,263.0,4.194245614035087
111,bar,__ba_r____,__bar_____,2199.0,6.1
112,barb,__ba_rb___,__barb____,19.0,4.3
113,barbs,__ba_rbs__,__barbz___,43.0,4.194245614035087
114,bard,__ba_rd___,__bard____,68.0,4.194245614035087
115,bards,__ba_rds__,__bardz___,2.0,4.194245614035087
116,bare,__ba_re___,__bEr_____,261.0,3.9
117,barge,__ba_rge__,__barJ____,170.0,5.7
118,bark,__ba_rk___,__bark____,61.0,5.0
119,barked,__ba_rked_,__barkt___,9.0,4.194245614035087
120,barks,__ba_rks__,__barks___,19.0,4.194245614035087
121,barn,__ba_rn___,__barn____,161.0,6.9
122,barns,__ba_rns__,__barnz___,31.0,4.194245614035087
123,bars,__ba_rs___,__barz____,767.0,4.194245614035087
124,base,__ba_se___,__bes_____,6018.0,4.4
125,based,__ba_sed__,__best____,53865.0,4.194245614035087
126,bash,__ba_sh___,__b@S_____,114.0,3.2
127,bask,__ba_sk___,__b@sk____,21.0,2.6
128,basked,__ba_sked_,__b@skt___,10.0,4.194245614035087
129,basks,__ba_sks__,__b@sks___,1.0,4.194245614035087
130,bast,__ba_st___,__b@st____,4.0,4.194245614035087
131,baste,__ba_ste__,__best____,0.0,3.5
132,bastes,__ba_stes_,__bests___,0.0,4.194245614035087
133,bat,__ba_t____,__b@t_____,1468.0,6.2
134,batch,__ba_tch__,__b@tC____,182.0,3.8
135,bate,__ba_te___,__bet_____,1.0,4.194245614035087
136,bath,__ba_th___,__b@T_____,272.0,6.0
137,bathe,__ba_the__,__beD_____,17.0,4.5
138,bathed,__ba_thed_,__beDd____,34.0,4.194245614035087
139,bathes,__ba_thes_,__beDz____,7.0,4.194245614035087
140,baths,__ba_ths__,__b@Dz____,47.0,4.194245614035087
141,bats,__ba_ts___,__b@ts____,79.0,4.194245614035087
142,bawl,__bawl____,__bal_____,0.0,3.6
143,bawled,__bawled__,__bald____,0.0,4.194245614035087
144,bawls,__bawls___,__balz____,2.0,4.194245614035087
145,bay,__bay_____,__be______,1452.0,5.2
146,bays,__bays____,__bez_____,66.0,4.194245614035087
147,be,__be______,__bi______,203275.0,1.3
148,beach,__beach___,__biC_____,1691.0,6.5
149,bead,__bead____,__bid_____,12.0,6.0
150,beads,__beads___,__bidz____,77.0,4.194245614035087
151,beak,__beak____,__bik_____,10.0,5.2
152,beaks,__beaks___,__biks____,3.0,4.194245614035087
153,beam,__beam____,__bim_____,267.0,4.6
154,beams,__beams___,__bimz____,142.0,4.194245614035087
155,bean,__bean____,__bin_____,200.0,6.6
156,beans,__beans___,__binz____,301.0,4.194245614035087
157,bear,__bear____,__bEr_____,3520.0,6.7
158,beard,__beard___,__bird____,210.0,6.3
159,beards,__beards__,__birdz___,20.0,4.194245614035087
160,bears,__bears___,__bErz____,740.0,4.194245614035087
161,beast,__beast___,__bist____,96.0,5.6
162,beasts,__beasts__,__bists___,42.0,4.194245614035087
163,beat,__beat____,__bit_____,1315.0,3.4
164,beats,__beats___,__bits____,117.0,4.194245614035087
165,beau,__beau____,__bo______,31.0,3.1
166,beaus,__beaus___,__boz_____,1.0,4.194245614035087
167,beck,__be_ck___,__bEk_____,135.0,2.0
168,becks,__be_cks__,__bEks____,0.0,4.194245614035087
169,bed,__be_d____,__bEd_____,665.0,6.6
170,beds,__be_ds___,__bEdz____,300.0,4.194245614035087
171,bee,__bee_____,__bi______,191.0,6.9
172,beech,__beech___,__biC_____,184.0,3.4
173,beef,__beef____,__bif_____,1327.0,6.5
174,beefs,__beefs___,__bifs____,10.0,4.194245614035087
175,beep,__beep____,__bip_____,23.0,4.194245614035087
176,beeps,__beeps___,__bips____,7.0,4.194245614035087
177,beer,__beer____,__bir_____,1618.0,6.1
178,beers,__beers___,__birz____,304.0,4.194245614035087
179,bees,__bees____,__biz_____,110.0,4.194245614035087
180,beet,__beet____,__bit_____,111.0,4.8
181,beets,__beets___,__bits____,39.0,4.194245614035087
182,beg,__be_g____,__bEg_____,67.0,3.7
183,begged,__be_gged_,__bEgd____,51.0,4.194245614035087
184,begs,__be_gs___,__bEgz____,46.0,4.194245614035087
185,beige,__beige___,__beZ_____,43.0,5.3
186,belch,__be_lch__,__bElC____,9.0,4.6
187,bell,__be_ll___,__bEl_____,4691.0,6.6
188,belle,__be_lle__,__bEl_____,52.0,3.9
189,belles,__be_lles_,__bElz____,1.0,4.194245614035087
190,bells,__be_lls__,__bElz____,476.0,4.194245614035087
191,belt,__be_lt___,__bElt____,987.0,6.5
192,belts,__be_lts__,__bElts___,314.0,4.194245614035087
193,bench,__be_nch__,__bEnC____,382.0,6.5
194,bend,__be_nd___,__bEnd____,320.0,3.9
195,bends,__be_nds__,__bEndz___,19.0,4.194245614035087
196,bent,__be_nt___,__bEnt____,299.0,4.7
197,berg,__be_rg___,__b^rg____,207.0,4.194245614035087
198,bergs,__be_rgs__,__b^rgz___,0.0,4.194245614035087
199,berth,__be_rth__,__b^rT____,27.0,2.0
200,berths,__be_rths_,__b^rTs___,27.0,4.194245614035087
201,best,__be_st___,__bEst____,11512.0,2.7
202,bet,__be_t____,__bEt_____,1012.0,3.1
203,bets,__be_ts___,__bEts____,350.0,4.194245614035087
204,bey,__bey_____,__be______,1.0,4.194245614035087
205,bib,__bi_b____,__bIb_____,5.0,5.9
206,bibs,__bi_bs___,__bIbz____,2.0,4.194245614035087
207,bid,__bi_d____,__bId_____,20125.0,3.4
208,bide,__bi_de___,__bAd_____,11.0,1.6
209,bids,__bi_ds___,__bIdz____,3349.0,4.194245614035087
210,bier,__bier____,__bir_____,2.0,4.194245614035087
211,biers,__biers___,__birz____,0.0,4.194245614035087
212,biff,__bi_ff___,__bIf_____,12.0,4.194245614035087
213,big,__bi_g____,__bIg_____,28257.0,4.5
214,bike,__bi_ke___,__bAk_____,153.0,6.8
215,bikes,__bi_kes__,__bAks____,92.0,4.194245614035087
216,bile,__bi_le___,__bAl_____,21.0,3.6
217,biles,__bi_les__,__bAlz____,0.0,4.194245614035087
218,bilge,__bi_lge__,__bIlJ____,2.0,1.7
219,bilk,__bi_lk___,__bIlk____,15.0,4.194245614035087
220,bilked,__bi_lked_,__bIlkt___,48.0,4.194245614035087
221,bilks,__bi_lks__,__bIlks___,2.0,4.194245614035087
222,bill,__bi_ll___,__bIl_____,14420.0,5.4
223,bills,__bi_lls__,__bIlz____,5647.0,4.194245614035087
224,bin,__bi_n____,__bIn_____,55.0,5.1
225,bind,__bi_nd___,__bAnd____,217.0,3.1
226,binds,__bi_nds__,__bAndz___,39.0,4.194245614035087
227,binge,__bi_nge__,__bInJ____,250.0,2.9
228,bins,__bi_ns___,__bInz____,49.0,4.194245614035087
229,birch,__bi_rch__,__b^rC____,104.0,4.1
230,bird,__bi_rd___,__b^rd____,469.0,6.4
231,birds,__bi_rds__,__b^rdz___,358.0,4.194245614035087
232,birth,__bi_rth__,__b^rT____,993.0,5.1
233,births,__bi_rths_,__b^rTs___,179.0,4.194245614035087
234,bisque,__bi_sque_,__bIsk____,2.0,4.194245614035087
235,bit,__bi_t____,__bIt_____,3372.0,3.6
236,bitch,__bi_tch__,__bItC____,34.0,5.4
237,bite,__bi_te___,__bAt_____,399.0,5.2
238,bits,__bi_ts___,__bIts____,286.0,4.194245614035087
239,biz,__bi_z____,__bIz_____,43.0,4.194245614035087
240,blab,_bla_b____,_bl@b_____,0.0,2.9
241,blabbed,_bla_bbed_,_bl@bd____,0.0,4.194245614035087
242,blabs,_bla_bs___,_bl@bz____,1.0,4.194245614035087
243,black,_bla_ck___,_bl@k_____,9765.0,6.4
244,blade,_bla_de___,_bled_____,118.0,5.8
245,blades,_bla_des__,_bledz____,185.0,4.194245614035087
246,blah,_blah_____,_bla______,10.0,2.2
247,blame,_bla_me___,_blem_____,1432.0,2.7
248,blamed,_bla_med__,_blemd____,1463.0,4.194245614035087
249,blames,_bla_mes__,_blemz____,306.0,4.194245614035087
250,blanch,_bla_nch__,_bl@nC____,17.0,2.9
251,blanched,_bla_nched,_bl@nCt___,5.0,4.194245614035087
252,bland,_bla_nd___,_bl@nd____,116.0,2.3
253,blank,_bla_nk___,_bl@nk____,250.0,3.7
254,blare,_bla_re___,_blEr_____,11.0,2.9
255,blared,_bla_red__,_blErd____,16.0,4.194245614035087
256,blares,_bla_res__,_blErz____,25.0,4.194245614035087
257,blast,_bla_st___,_bl@st____,276.0,4.8
258,blasts,_bla_sts__,_bl@sts___,66.0,4.194245614035087
259,blaze,_bla_ze___,_blez_____,75.0,4.9
260,blazed,_bla_zed__,_blezd____,9.0,4.194245614035087
261,bleach,_bleach___,_bliC_____,61.0,5.7
262,bleached,_bleached_,_bliCt____,47.0,4.194245614035087
263,bleak,_bleak____,_blik_____,276.0,2.8
264,bleat,_bleat____,_blit_____,1.0,2.1
265,bleats,_bleats___,_blits____,0.0,4.194245614035087
266,bled,_ble_d____,_blEd_____,32.0,4.1
267,bleed,_bleed____,_blid_____,40.0,5.7
268,bleeds,_bleeds___,_blidz____,18.0,4.194245614035087
269,bleep,_bleep____,_blip_____,15.0,4.194245614035087
270,bleeps,_bleeps___,_blips____,4.0,4.194245614035087
271,blend,_ble_nd___,_blEnd____,268.0,4.2
272,blends,_ble_nds__,_blEndz___,61.0,4.194245614035087
273,bless,_ble_ss___,_blEs_____,42.0,2.9
274,blessed,_ble_ssed_,_blEst____,91.0,4.194245614035087
275,blew,_blew_____,_blu______,222.0,3.9
276,blight,_bli_ght__,_blAt_____,39.0,2.2
277,blights,_bli_ghts_,_blAts____,3.0,4.194245614035087
278,blimp,_bli_mp___,_blImp____,88.0,5.6
279,blimps,_bli_mps__,_blImps___,38.0,4.194245614035087
280,blind,_bli_nd___,_blAnd____,550.0,4.4
281,blink,_bli_nk___,_blInk____,53.0,5.5
282,blinked,_bli_nked_,_blInkt___,23.0,4.194245614035087
283,blinks,_bli_nks__,_blInks___,16.0,4.194245614035087
284,blip,_bli_p____,_blIp_____,102.0,4.194245614035087
285,blips,_bli_ps___,_blIps____,34.0,4.194245614035087
286,bliss,_bli_ss___,_blIs_____,51.0,3.1
287,blithe,_bli_the__,_blAT_____,22.0,1.6
288,blitz,_bli_tz___,_blIts____,176.0,3.4
289,bloat,_bloat____,_blot_____,8.0,3.7
290,bloats,_bloats___,_blots____,1.0,4.194245614035087
291,blob,_blo_b____,_blab_____,16.0,4.4
292,blobs,_blo_bs___,_blabz____,3.0,4.194245614035087
293,bloc,_blo_c____,_blak_____,1008.0,4.194245614035087
294,block,_blo_ck___,_blak_____,4366.0,5.7
295,blocks,_blo_cks__,_blaks____,919.0,4.194245614035087
296,blocs,_blo_cs___,_blaks____,38.0,4.194245614035087
297,bloke,_blo_ke___,_blok_____,3.0,2.4
298,blokes,_blo_kes__,_bloks____,8.0,4.194245614035087
299,blond,_blo_nd___,_bland____,168.0,4.194245614035087
300,blonde,_blo_nde__,_bland____,76.0,6.3
301,blood,_blood____,_bl^d_____,2656.0,6.4
302,bloods,_bloods___,_bl^dz____,14.0,4.194245614035087
303,bloom,_bloom____,_blum_____,344.0,5.0
304,bloomed,_bloomed__,_blumd____,10.0,4.194245614035087
305,blooms,_blooms___,_blumz____,21.0,4.194245614035087
306,blot,_blo_t____,_blat_____,41.0,4.0
307,blotch,_blo_tch__,_blatC____,5.0,4.2
308,blots,_blo_ts___,_blats____,6.0,4.194245614035087
309,blouse,_blouse___,_blWs_____,22.0,6.4
310,blow,_blow_____,_blo______,1174.0,4.2
311,blows,_blows____,_bloz_____,167.0,4.194245614035087
312,blue,_blue_____,_blu______,4164.0,6.1
313,blues,_blues____,_bluz_____,263.0,4.194245614035087
314,bluff,_blu_ff___,_bl^f_____,89.0,3.7
315,bluffs,_blu_ffs__,_bl^fs____,16.0,4.194245614035087
316,blunt,_blu_nt___,_bl^nt____,402.0,4.3
317,blur,_blu_r____,_bl^r_____,72.0,4.1
318,blurb,_blu_rb___,_bl^rb____,17.0,4.194245614035087
319,blurred,_blu_rred_,_bl^rd____,59.0,4.194245614035087
320,blurs,_blu_rs___,_bl^rz____,18.0,4.194245614035087
321,blurt,_blu_rt___,_bl^rt____,6.0,2.7
322,blurts,_blu_rts__,_bl^rts___,9.0,4.194245614035087
323,blush,_blu_sh___,_bl^S_____,54.0,5.2
324,blushed,_blu_shed_,_bl^St____,0.0,4.194245614035087
325,boar,__boar____,__bor_____,6.0,4.6
326,board,__board___,__bord____,30768.0,5.8
327,boards,__boards__,__bordz___,1218.0,4.194245614035087
328,boars,__boars___,__borz____,5.0,4.194245614035087
329,boast,__boast___,__bost____,188.0,2.8
330,boasts,__boasts__,__bosts___,372.0,4.194245614035087
331,boat,__boat____,__bot_____,880.0,6.7
332,boats,__boats___,__bots____,489.0,4.194245614035087
333,bob,__bo_b____,__bab_____,1414.0,3.5
334,bobbed,__bo_bbed_,__babd____,5.0,4.194245614035087
335,bobs,__bo_bs___,__babz____,3.0,4.194245614035087
336,bock,__bo_ck___,__bak_____,12.0,4.194245614035087
337,bocks,__bo_cks__,__baks____,0.0,4.194245614035087
338,bod,__bo_d____,__bad_____,2.0,4.194245614035087
339,bode,__bo_de___,__bod_____,178.0,2.0
340,bog,__bo_g____,__bag_____,38.0,2.9
341,boil,__boil____,__bOl_____,81.0,5.5
342,boiled,__boiled__,__bOld____,68.0,4.194245614035087
343,boils,__boils___,__bOlz____,72.0,4.194245614035087
344,bold,__bo_ld___,__bold____,564.0,2.9
345,bolt,__bo_lt___,__bolt____,126.0,5.6
346,bolts,__bo_lts__,__bolts___,138.0,4.194245614035087
347,bomb,__bo_mb___,__bam_____,779.0,6.4
348,bombs,__bo_mbs__,__bamz____,360.0,4.194245614035087
349,bond,__bo_nd___,__band____,16194.0,4.0
350,bonds,__bo_nds__,__bandz___,21743.0,4.194245614035087
351,bone,__bo_ne___,__bon_____,395.0,6.4
352,bones,__bo_nes__,__bonz____,255.0,4.194245614035087
353,boo,__boo_____,__bu______,34.0,4.194245614035087
354,book,__book____,__bUk_____,6882.0,6.3
355,books,__books___,__bUks____,3578.0,4.194245614035087
356,boom,__boom____,__bum_____,1960.0,3.8
357,booms,__booms___,__bumz____,82.0,4.194245614035087
358,boon,__boon____,__bun_____,167.0,2.0
359,boons,__boons___,__bunz____,1.0,4.194245614035087
360,boor,__boor____,__bor_____,3.0,4.194245614035087
361,boors,__boors___,__borz____,8.0,4.194245614035087
362,boos,__boos____,__buz_____,26.0,4.194245614035087
363,boost,__boost___,__bust____,5847.0,2.9
364,boosts,__boosts__,__busts___,410.0,4.194245614035087
365,boot,__boot____,__but_____,187.0,6.9
366,booth,__booth___,__buT_____,226.0,5.6
367,booths,__booths__,__buTs____,76.0,4.194245614035087
368,boots,__boots___,__buts____,278.0,4.194245614035087
369,booze,__booze___,__buz_____,54.0,5.9
370,bop,__bo_p____,__bap_____,29.0,4.194245614035087
371,bops,__bo_ps___,__baps____,1.0,4.194245614035087
372,boss,__bo_ss___,__bas_____,1098.0,5.1
373,botch,__bo_tch__,__batC____,6.0,2.4
374,both,__bo_th___,__boT_____,25695.0,2.3
375,bough,__bough___,__bW______,2.0,2.0
376,boughs,__boughs__,__bWz_____,6.0,4.194245614035087
377,bought,__bought__,__bat_____,8447.0,3.2
378,bounce,__bounce__,__bWns____,272.0,4.7
379,bounced,__bounced_,__bWnst___,320.0,4.194245614035087
380,bound,__bound___,__bWnd____,1064.0,3.3
381,bourn,__bourn___,__born____,0.0,4.194245614035087
382,bout,__bout____,__bWt_____,209.0,1.8
383,bouts,__bouts___,__bWts____,89.0,4.194245614035087
384,bow,__bow_____,__bo______,445.0,4.194245614035087
385,bowl,__bowl____,__bol_____,462.0,6.3
386,bowls,__bowls___,__bolz____,61.0,4.194245614035087
387,bows,__bows____,__boz_____,54.0,4.194245614035087
388,box,__bo_x____,__baks____,1497.0,6.7
389,boy,__boy_____,__bO______,1055.0,6.2
390,boys,__boys____,__bOz_____,880.0,4.194245614035087
391,bra,_bra______,_bra______,36.0,6.6
392,brace,_bra_ce___,_bres_____,280.0,4.8
393,brad,_bra_d____,_br@d_____,84.0,4.194245614035087
394,brads,_bra_ds___,_br@dz____,0.0,4.194245614035087
395,brag,_bra_g____,_br@g_____,47.0,3.1
396,bragged,_bra_gged_,_br@gd____,35.0,4.194245614035087
397,brags,_bra_gs___,_br@gz____,44.0,4.194245614035087
398,braid,_braid____,_bred_____,7.0,5.9
399,braids,_braids___,_bredz____,13.0,4.194245614035087
400,braille,_braille__,_brel_____,19.0,4.194245614035087
401,brain,_brain____,_bren_____,712.0,6.4
402,brains,_brains___,_brenz____,173.0,4.194245614035087
403,braise,_braise___,_brez_____,0.0,2.0
404,brake,_bra_ke___,_brek_____,347.0,5.3
405,brakes,_bra_kes__,_breks____,260.0,4.194245614035087
406,bran,_bra_n____,_br@n_____,69.0,3.2
407,branch,_bra_nch__,_br@nC____,2389.0,6.0
408,brand,_bra_nd___,_br@nd____,2511.0,3.9
409,brands,_bra_nds__,_br@ndz___,2762.0,4.194245614035087
410,brans,_bra_ns___,_br@nz____,1.0,4.194245614035087
411,brash,_bra_sh___,_br@S_____,111.0,2.3
412,brass,_bra_ss___,_br@s_____,291.0,5.8
413,brat,_bra_t____,_br@t_____,27.0,5.0
414,brats,_bra_ts___,_br@ts____,8.0,4.194245614035087
415,brave,_bra_ve___,_brev_____,197.0,3.3
416,brawl,_brawl____,_bral_____,47.0,4.1
417,brawls,_brawls___,_bralz____,10.0,4.194245614035087
418,brawn,_brawn____,_bran_____,10.0,4.194245614035087
419,brawns,_brawns___,_branz____,0.0,4.194245614035087
420,bray,_bray_____,_bre______,27.0,4.194245614035087
421,brayed,_brayed___,_bred_____,0.0,4.194245614035087
422,brays,_brays____,_brez_____,2.0,4.194245614035087
423,braze,_bra_ze___,_brez_____,0.0,2.3
424,breach,_breach___,_briC_____,672.0,3.3
425,bread,_bread____,_brEd_____,457.0,6.2
426,breads,_breads___,_brEdz____,13.0,4.194245614035087
427,breadth,_breadth__,_brEdT____,153.0,1.8
428,breadths,_breadths_,_brEdTs___,0.0,4.194245614035087
429,break,_break____,_brek_____,3571.0,4.5
430,breast,_breast___,_brEst____,288.0,6.7
431,breasts,_breasts__,_brEsts___,46.0,4.194245614035087
432,breath,_breath___,_brET_____,245.0,5.0
433,breathe,_breathe__,_briD_____,136.0,3.8
434,breaths,_breaths__,_brETs____,7.0,4.194245614035087
435,breech,_breech___,_briC_____,11.0,2.8
436,breed,_breed____,_brid_____,320.0,3.9
437,breeds,_breeds___,_bridz____,81.0,4.194245614035087
438,breeze,_breeze___,_briz_____,98.0,4.4
439,brew,_brew_____,_bru______,94.0,4.6
440,brews,_brews____,_bruz_____,23.0,4.194245614035087
441,bribe,_bri_be___,_brAb_____,182.0,3.7
442,bribed,_bri_bed__,_brAbd____,80.0,4.194245614035087
443,bribes,_bri_bes__,_brAbz____,240.0,4.194245614035087
444,brick,_bri_ck___,_brIk_____,301.0,6.6
445,bricks,_bri_cks__,_brIks____,93.0,4.194245614035087
446,bride,_bri_de___,_brAd_____,102.0,6.4
447,brides,_bri_des__,_brAdz____,24.0,4.194245614035087
448,bridge,_bri_dge__,_brIJ_____,1301.0,6.7
449,brief,_brief____,_brif_____,1710.0,2.5
450,bright,_bri_ght__,_brAt_____,974.0,4.4
451,brigs,_bri_gs___,_brIgz____,0.0,4.194245614035087
452,brill,_bri_ll___,_brIl_____,54.0,4.194245614035087
453,brim,_bri_m____,_brIm_____,23.0,3.8
454,brims,_bri_ms___,_brImz____,5.0,4.194245614035087
455,brine,_bri_ne___,_brAn_____,17.0,4.194245614035087
456,bring,_bri_ng___,_brIng____,5246.0,2.6
457,brings,_bri_ngs__,_brIngz___,1162.0,4.194245614035087
458,brink,_bri_nk___,_brInk____,242.0,3.1
459,brinks,_bri_nks__,_brInks___,3.0,4.194245614035087
460,brisk,_bri_sk___,_brIsk____,557.0,2.6
461,broach,_broach___,_broC_____,10.0,4.0
462,broached,_broached_,_broCt____,43.0,4.194245614035087
463,broad,_broad____,_brad_____,3234.0,3.3
464,broads,_broads___,_bradz____,2.0,4.194245614035087
465,brogue,_bro_gue__,_brog_____,4.0,4.194245614035087
466,broil,_broil____,_brOl_____,2.0,4.3
467,broiled,_broiled__,_brOld____,10.0,4.194245614035087
468,broils,_broils___,_brOlz____,1.0,4.194245614035087
469,broke,_bro_ke___,_brok_____,1956.0,3.7
470,bronx,_bro_nx___,_branks___,275.0,4.194245614035087
471,bronze,_bro_nze__,_branz____,144.0,5.6
472,brooch,_brooch___,_broC_____,8.0,3.3
473,brooches,_brooches_,_broC___Es,8.0,4.194245614035087
474,brood,_brood____,_brud_____,24.0,3.2
475,broods,_broods___,_brudz____,4.0,4.194245614035087
476,brook,_brook____,_brUk_____,281.0,5.8
477,brooks,_brooks___,_brUks____,707.0,4.194245614035087
478,broom,_broom____,_brum_____,44.0,6.6
479,brooms,_brooms___,_brumz____,15.0,4.194245614035087
480,broth,_bro_th___,_braT_____,7.0,4.5
481,broths,_bro_ths__,_braTs____,0.0,4.194245614035087
482,brought,_brought__,_brat_____,5436.0,2.1
483,brow,_brow_____,_brW______,27.0,4.8
484,brown,_brown____,_brWn_____,3173.0,5.8
485,brows,_brows____,_brWz_____,6.0,4.194245614035087
486,bruise,_bruise___,_bruz_____,10.0,6.3
487,brunch,_bru_nch__,_br^nC____,28.0,3.8
488,brunt,_bru_nt___,_br^nt____,145.0,2.1
489,brush,_bru_sh___,_br^S_____,264.0,6.2
490,brushed,_bru_shed_,_br^St____,85.0,4.194245614035087
491,brusque,_bru_sque_,_br^sk____,12.0,4.194245614035087
492,brute,_bru_te___,_brut_____,33.0,4.0
493,brutes,_bru_tes__,_bruts____,3.0,4.194245614035087
