,id,cond,word,pho,ort,img,wf
74,74,Regular,plore,['_plor_____'],_plo_re___,0,0
75,75,Regular,hoil,['__hOl_____'],__hoil____,0,0
76,76,Regular,lole,['__lol_____'],__lo_le___,0,0
77,77,Regular,doon,['__dun_____'],__doon____,0,0
78,78,Regular,grool,"['_grul_____', '_grUl_____']",_grool____,0,0
79,79,Regular,sweal,['_swil_____'],_sweal____,0,0
80,80,Regular,speet,['_spit_____'],_speet____,0,0
81,81,Regular,dold,['__dold____'],__do_ld___,0,0
82,82,Regular,lail,['__lel_____'],__lail____,0,0
83,83,Regular,meak,"['__mik_____', '__mek_____']",__meak____,0,0
84,84,Regular,pilt,['__pIlt____'],__pi_lt___,0,0
85,85,Regular,dore,['__dor_____'],__do_re___,0,0
