,word,ort,pho,wf,adjusted_wf
47,arcs,___a_rcs__,___arks_,0.18,0.18
48,are,___a_re___,___ar___,5209.25,5209.25
49,ares,___a_res__,___Erz__,0.0,0.0
50,ark,___a_rk___,___ark__,3.9,3.9
51,arks,___a_rks__,___arks_,0.06,0.06
52,arm,___a_rm___,___arm__,65.41,65.41
53,arms,___a_rms__,___armz_,59.8,59.8
54,arse,___a_rse__,___ars__,3.75,3.75
55,art,___a_rt___,___art__,70.8,70.8
56,arts,___a_rts__,___arts_,9.22,9.22
57,as,___a_s____,___@z___,2217.02,2217.02
58,ash,___a_sh___,___@S___,9.2,9.2
59,ask,___a_sk___,___@sk__,483.14,483.14
60,asked,___a_sked_,___@skt_,216.25,216.25
61,asks,___a_sks__,___@sks_,16.71,16.71
62,asp,___a_sp___,___@sp__,0.12,0.12
63,asps,___a_sps__,___@sps_,0.1,0.1
64,ass,___a_ss___,___@s___,226.37,226.37
65,at,___a_t____,___@t___,3217.1,3217.1
66,ate,___a_te___,___et___,33.76,33.76
67,aught,___aught__,___at___,0.35,0.35
68,aunt,___aunt___,___ant__,55.2,55.2
69,aunts,___aunts__,___ants_,1.55,1.55
70,awe,___awe____,___a____,2.63,2.63
71,awes,___awes___,___az___,0.0,0.0
72,awl,___awl____,___al___,0.04,0.04
73,awls,___awls___,___alz__,0.0,0.0
74,awn,___awn____,___an___,0.0,0.0
75,awns,___awns___,___anz__,0.0,0.0
76,ax,___a_x____,___@ks__,4.33,4.33
77,axe,___a_xe___,___@ks__,4.88,4.88
78,aye,___aye____,___A____,43.84,43.84
79,babe,__ba_be___,__beb___,35.57,35.57
80,babes,__ba_bes__,__bebz__,3.47,3.47
81,back,__ba_ck___,__b@k___,2009.16,2009.16
82,bad,__ba_d____,__b@d___,545.18,545.18
83,badge,__ba_dge__,__b@J___,15.25,15.25
84,bag,__ba_g____,__b@g___,94.04,94.04
85,bags,__ba_gs___,__b@gz__,28.55,28.55
86,bail,__bail____,__bel___,17.35,17.35
87,bails,__bails___,__belz__,0.22,0.22
88,bait,__bait____,__bet___,9.73,9.73
89,baits,__baits___,__bets__,0.18,0.18
90,baize,__baize___,__bez___,0.0,0.0
91,bake,__ba_ke___,__bek___,6.33,6.33
92,baked,__ba_ked__,__bekt__,6.69,6.69
93,bakes,__ba_kes__,__beks__,0.53,0.53
94,bald,__ba_ld___,__bald__,9.73,9.73
95,bale,__ba_le___,__bel___,2.04,2.04
96,bales,__ba_les__,__belz__,0.18,0.18
97,balk,__ba_lk___,__balk__,0.06,0.06
98,balked,__ba_lked_,__balkt_,0.18,0.18
99,balks,__ba_lks__,__balks_,0.02,0.02
100,ball,__ba_ll___,__bal___,104.96,104.96
101,balls,__ba_lls__,__balz__,40.16,40.16
102,balm,__ba_lm___,__balm__,0.59,0.59
103,balms,__ba_lms__,__balmz_,0.02,0.02
104,ban,__ba_n____,__b@n___,3.14,3.14
105,band,__ba_nd___,__b@nd__,53.41,53.41
106,bands,__ba_nds__,__b@ndz_,5.37,5.37
107,bane,__ba_ne___,__ben___,1.84,1.84
108,banes,__ba_nes__,__benz__,0.0,0.0
109,bang,__ba_ng___,__b@ng__,19.98,19.98
110,banged,__ba_nged_,__b@ngd_,3.14,3.14
111,bangs,__ba_ngs__,__b@ngz_,1.8,1.8
112,bank,__ba_nk___,__b@nk__,84.98,84.98
113,banks,__ba_nks__,__b@nks_,15.9,15.9
114,bans,__ba_ns___,__b@nz__,0.02,0.02
115,bar,__ba_r____,__bar___,85.98,85.98
116,barb,__ba_rb___,__barb__,2.31,2.31
117,barbs,__ba_rbs__,__barbz_,0.24,0.24
118,bard,__ba_rd___,__bard__,0.8,0.8
119,bards,__ba_rds__,__bardz_,0.02,0.02
120,bare,__ba_re___,__bEr___,8.33,8.33
121,barge,__ba_rge__,__barJ__,3.88,3.88
122,bark,__ba_rk___,__bark__,5.49,5.49
123,barked,__ba_rked_,__barkt_,0.35,0.35
124,barks,__ba_rks__,__barks_,3.22,3.22
125,barm,__ba_rm___,__barm__,0.0,0.0
126,barn,__ba_rn___,__barn__,13.59,13.59
127,barns,__ba_rns__,__barnz_,0.41,0.41
128,bars,__ba_rs___,__barz__,17.96,17.96
129,base,__ba_se___,__bes___,35.37,35.37
130,based,__ba_sed__,__best__,26.61,26.61
131,bash,__ba_sh___,__b@S___,3.27,3.27
132,bask,__ba_sk___,__b@sk__,0.57,0.57
133,basked,__ba_sked_,__b@skt_,0.02,0.02
134,basks,__ba_sks__,__b@sks_,0.0,0.0
135,bass,__ba_ss___,__b@s___,7.55,3.775
136,bass,__ba_ss___,__b@s___,7.55,3.775
137,bast,__ba_st___,__b@st__,0.25,0.25
138,baste,__ba_ste__,__best__,0.35,0.35
139,bastes,__ba_stes_,__bests_,0.0,0.0
140,bat,__ba_t____,__b@t___,20.63,20.63
141,batch,__ba_tch__,__b@tC__,4.16,4.16
142,bate,__ba_te___,__bet___,0.06,0.06
143,bath,__ba_th___,__b@T___,31.12,31.12
144,bathe,__ba_the__,__beD___,2.51,2.51
145,bathed,__ba_thed_,__beDd__,1.39,1.39
146,bathes,__ba_thes_,__beDz__,0.24,0.24
147,baths,__ba_ths__,__b@Dz__,3.16,3.16
148,bats,__ba_ts___,__b@ts__,6.06,6.06
149,bawl,__bawl____,__bal___,0.55,0.55
150,bawled,__bawled__,__bald__,0.24,0.24
151,bawls,__bawls___,__balz__,0.08,0.08
152,bay,__bay_____,__be____,24.24,24.24
153,bays,__bays____,__bez___,0.22,0.22
154,be,__be______,__bi____,5746.76,5746.76
155,beach,__beach___,__biC___,56.63,56.63
156,bead,__bead____,__bid___,1.12,1.12
157,beads,__beads___,__bidz__,3.53,3.53
158,beak,__beak____,__bik___,2.1,2.1
159,beaks,__beaks___,__biks__,0.25,0.25
160,beam,__beam____,__bim___,8.73,8.73
161,beams,__beams___,__bimz__,2.69,2.69
162,bean,__bean____,__bin___,6.84,6.84
163,beans,__beans___,__binz__,14.43,14.43
164,bear,__bear____,__bEr___,57.41,57.41
165,beard,__beard___,__bird__,12.61,12.61
166,beards,__beards__,__birdz_,0.76,0.76
167,bears,__bears___,__bErz__,11.39,11.39
168,beast,__beast___,__bist__,24.55,24.55
169,beasts,__beasts__,__bists_,3.73,3.73
170,beat,__beat____,__bit___,131.69,65.845
171,beat,__beat____,__bit___,131.69,65.845
172,beats,__beats___,__bits__,15.04,15.04
173,beau,__beau____,__bo____,5.84,5.84
174,beaus,__beaus___,__boz___,0.0,0.0
175,beck,__be_ck___,__bEk___,3.82,3.82
176,becks,__be_cks__,__bEks__,0.25,0.25
177,bed,__be_d____,__bEd___,187.12,187.12
178,beds,__be_ds___,__bEdz__,8.57,8.57
179,bee,__bee_____,__bi____,10.35,10.35
180,beech,__beech___,__biC___,0.35,0.35
181,beef,__beef____,__bif___,19.71,19.71
182,beefs,__beefs___,__bifs__,0.51,0.51
183,beep,__beep____,__bip___,6.51,6.51
184,beeps,__beeps___,__bips__,3.0,3.0
185,beer,__beer____,__bir___,75.49,75.49
186,beers,__beers___,__birz__,10.75,10.75
187,bees,__bees____,__biz___,5.33,5.33
188,beet,__beet____,__bit___,0.27,0.27
189,beets,__beets___,__bits__,1.02,1.02
190,beg,__be_g____,__bEg___,50.98,50.98
191,begged,__be_gged_,__bEgd__,7.27,7.27
192,begs,__be_gs___,__bEgz__,1.41,1.41
193,beige,__beige___,__beZ___,1.35,1.35
194,belch,__be_lch__,__bElC__,0.73,0.73
195,bell,__be_ll___,__bEl___,39.33,39.33
196,belle,__be_lle__,__bEl___,8.1,8.1
197,belles,__be_lles_,__bElz__,0.16,0.16
198,bells,__be_lls__,__bElz__,13.16,13.16
199,belt,__be_lt___,__bElt__,24.35,24.35
200,belts,__be_lts__,__bElts_,4.98,4.98
201,ben,__be_n____,__bEn___,0.0,0.0
202,bench,__be_nch__,__bEnC__,9.67,9.67
203,bend,__be_nd___,__bEnd__,15.06,15.06
204,bends,__be_nds__,__bEndz_,1.51,1.51
205,bent,__be_nt___,__bEnt__,7.22,7.22
206,berg,__be_rg___,__b^rg__,1.55,1.55
207,bergs,__be_rgs__,__b^rgz_,0.02,0.02
208,berth,__be_rth__,__b^rT__,0.78,0.78
209,berths,__be_rths_,__b^rTs_,0.14,0.14
210,best,__be_st___,__bEst__,404.37,404.37
211,bet,__be_t____,__bEt___,171.82,85.91
212,bet,__be_t____,__bEt___,171.82,85.91
213,bets,__be_ts___,__bEts__,10.53,10.53
214,bey,__bey_____,__be____,0.51,0.51
215,bib,__bi_b____,__bIb___,0.49,0.49
216,bibs,__bi_bs___,__bIbz__,0.25,0.25
217,bid,__bi_d____,__bId___,12.59,12.59
218,bide,__bi_de___,__bAd___,0.55,0.55
219,bids,__bi_ds___,__bIdz__,1.59,1.59
220,bier,__bier____,__bir___,0.04,0.04
221,biers,__biers___,__birz__,0.0,0.0
222,biff,__bi_ff___,__bIf___,2.94,2.94
223,big,__bi_g____,__bIg___,682.82,682.82
224,bight,__bi_ght__,__bAt___,0.14,0.14
225,bights,__bi_ghts_,__bAts__,0.0,0.0
226,bike,__bi_ke___,__bAk___,25.88,25.88
227,bikes,__bi_kes__,__bAks__,2.84,2.84
228,bile,__bi_le___,__bAl___,0.78,0.78
229,biles,__bi_les__,__bAlz__,0.0,0.0
230,bilge,__bi_lge__,__bIlJ__,1.1,1.1
231,bilk,__bi_lk___,__bIlk__,0.1,0.1
232,bilked,__bi_lked_,__bIlkt_,0.14,0.14
233,bilks,__bi_lks__,__bIlks_,0.02,0.02
234,bill,__bi_ll___,__bIl___,118.45,118.45
235,bills,__bi_lls__,__bIlz__,21.49,21.49
236,bin,__bi_n____,__bIn___,5.37,5.37
237,bind,__bi_nd___,__bAnd__,3.35,3.35
238,binds,__bi_nds__,__bAndz_,0.75,0.75
239,bine,__bi_ne___,__bAn___,0.0,0.0
240,binge,__bi_nge__,__bInJ__,0.92,0.92
241,bins,__bi_ns___,__bInz__,0.76,0.76
242,birch,__bi_rch__,__b^rC__,1.55,1.55
243,bird,__bi_rd___,__b^rd__,45.45,45.45
244,birds,__bi_rds__,__b^rdz_,25.88,25.88
245,birth,__bi_rth__,__b^rT__,27.55,27.55
246,births,__bi_rths_,__b^rTs_,0.57,0.57
247,bisque,__bi_sque_,__bIsk__,0.39,0.39
248,bit,__bi_t____,__bIt___,235.04,235.04
249,bitch,__bi_tch__,__bItC__,168.8,168.8
250,bite,__bi_te___,__bAt___,40.78,40.78
251,bits,__bi_ts___,__bIts__,10.76,10.76
252,biz,__bi_z____,__bIz___,1.86,1.86
253,blab,_bla_b____,_bl@b___,0.57,0.57
254,blabbed,_bla_bbed_,_bl@bd__,0.24,0.24
255,blabs,_bla_bs___,_bl@bz__,0.08,0.08
256,black,_bla_ck___,_bl@k___,167.94,167.94
257,blade,_bla_de___,_bled___,13.0,13.0
258,blades,_bla_des__,_bledz__,3.25,3.25
259,blah,_blah_____,_bla____,13.45,13.45
260,blame,_bla_me___,_blem___,58.78,58.78
261,blamed,_bla_med__,_blemd__,5.63,5.63
262,blames,_bla_mes__,_blemz__,2.06,2.06
263,blanch,_bla_nch__,_bl@nC__,0.25,0.25
264,blanched,_bla_nched,_bl@nCt_,0.1,0.1
265,bland,_bla_nd___,_bl@nd__,1.08,1.08
266,blank,_bla_nk___,_bl@nk__,9.71,9.71
267,blare,_bla_re___,_blEr___,0.39,0.39
268,blared,_bla_red__,_blErd__,0.02,0.02
269,blares,_bla_res__,_blErz__,1.04,1.04
270,blast,_bla_st___,_bl@st__,16.18,16.18
271,blasts,_bla_sts__,_bl@sts_,0.92,0.92
272,blaze,_bla_ze___,_blez___,2.1,2.1
273,blazed,_bla_zed__,_blezd__,0.33,0.33
274,bleach,_bleach___,_bliC___,2.31,2.31
275,bleached,_bleached_,_bliCt__,0.96,0.96
276,bleak,_bleak____,_blik___,1.08,1.08
277,bleat,_bleat____,_blit___,0.12,0.12
278,bleats,_bleats___,_blits__,0.08,0.08
279,bled,_ble_d____,_blEd___,3.94,3.94
280,bleed,_bleed____,_blid___,10.1,10.1
281,bleeds,_bleeds___,_blidz__,1.47,1.47
282,bleep,_bleep____,_blip___,2.67,2.67
283,bleeps,_bleeps___,_blips__,0.67,0.67
284,blench,_ble_nch__,_blEnC__,0.0,0.0
285,blend,_ble_nd___,_blEnd__,4.27,4.27
286,blends,_ble_nds__,_blEndz_,0.27,0.27
287,bless,_ble_ss___,_blEs___,35.06,35.06
288,blessed,_ble_ssed_,_blEst__,13.8,13.8
289,blew,_blew_____,_blu____,31.57,31.57
290,blight,_bli_ght__,_blAt___,0.57,0.57
291,blights,_bli_ghts_,_blAts__,0.06,0.06
292,blimp,_bli_mp___,_blImp__,1.04,1.04
293,blimps,_bli_mps__,_blImps_,0.0,0.0
294,blind,_bli_nd___,_blAnd__,45.82,45.82
295,blink,_bli_nk___,_blInk__,5.06,5.06
296,blinked,_bli_nked_,_blInkt_,1.27,1.27
297,blinks,_bli_nks__,_blInks_,0.59,0.59
298,blip,_bli_p____,_blIp___,0.8,0.8
299,blips,_bli_ps___,_blIps__,0.1,0.1
300,bliss,_bli_ss___,_blIs___,3.14,3.14
301,blithe,_bli_the__,_blAT___,0.22,0.22
302,blitz,_bli_tz___,_blIts__,1.25,1.25
303,bloat,_bloat____,_blot___,0.51,0.51
304,bloats,_bloats___,_blots__,0.08,0.08
305,blob,_blo_b____,_blab___,1.18,1.18
306,blobs,_blo_bs___,_blabz__,0.29,0.29
307,bloc,_blo_c____,_blak___,0.94,0.94
308,block,_blo_ck___,_blak___,40.53,40.53
309,blocks,_blo_cks__,_blaks__,15.0,15.0
310,blocs,_blo_cs___,_blaks__,0.04,0.04
311,bloke,_blo_ke___,_blok___,4.67,4.67
312,blokes,_blo_kes__,_bloks__,1.43,1.43
313,blond,_blo_nd___,_bland__,10.45,10.45
314,blonde,_blo_nde__,_bland__,13.92,13.92
315,blood,_blood____,_bl^d___,186.12,186.12
316,bloods,_bloods___,_bl^dz__,0.86,0.86
317,bloom,_bloom____,_blum___,5.51,5.51
318,bloomed,_bloomed__,_blumd__,0.2,0.2
319,blooms,_blooms___,_blumz__,0.69,0.69
320,blot,_blo_t____,_blat___,0.94,0.94
321,blotch,_blo_tch__,_blatC__,0.2,0.2
322,blots,_blo_ts___,_blats__,0.16,0.16
323,blouse,_blouse___,_blWs___,5.33,5.33
324,blow,_blow_____,_blo____,97.57,97.57
325,blows,_blows____,_bloz___,15.55,15.55
326,blue,_blue_____,_blu____,102.39,102.39
327,blues,_blues____,_bluz___,10.25,10.25
328,bluff,_blu_ff___,_bl^f___,6.22,6.22
329,bluffs,_blu_ffs__,_bl^fs__,0.45,0.45
330,blunt,_blu_nt___,_bl^nt__,4.9,4.9
331,blur,_blu_r____,_bl^r___,2.14,2.14
332,blurb,_blu_rb___,_bl^rb__,0.25,0.25
333,blurred,_blu_rred_,_bl^rd__,0.73,0.73
334,blurs,_blu_rs___,_bl^rz__,0.04,0.04
335,blurt,_blu_rt___,_bl^rt__,0.0,0.0
336,blurts,_blu_rts__,_bl^rts_,0.0,0.0
337,blush,_blu_sh___,_bl^S___,2.67,2.67
338,blushed,_blu_shed_,_bl^St__,0.14,0.14
339,boar,__boar____,__bor___,2.18,2.18
340,board,__board___,__bord__,64.16,64.16
341,boards,__boards__,__bordz_,4.35,4.35
342,boars,__boars___,__borz__,0.24,0.24
343,boast,__boast___,__bost__,1.06,1.06
344,boasts,__boasts__,__bosts_,0.31,0.31
345,boat,__boat____,__bot___,95.78,95.78
346,boats,__boats___,__bots__,11.75,11.75
347,bob,__bo_b____,__bab___,91.49,91.49
348,bobbed,__bo_bbed_,__babd__,0.18,0.18
349,bobs,__bo_bs___,__babz__,0.24,0.24
350,bock,__bo_ck___,__bak___,0.39,0.39
351,bocks,__bo_cks__,__baks__,0.02,0.02
352,bod,__bo_d____,__bad___,0.75,0.75
353,bode,__bo_de___,__bod___,0.47,0.47
354,bog,__bo_g____,__bag___,0.96,0.96
355,boil,__boil____,__bOl___,5.94,5.94
356,boiled,__boiled__,__bOld__,3.31,3.31
357,boils,__boils___,__bOlz__,2.0,2.0
358,bold,__bo_ld___,__bold__,7.55,7.55
359,bole,__bo_le___,__bol___,0.0,0.0
360,boles,__bo_les__,__bolz__,0.04,0.04
361,boll,__bo_ll___,__bol___,0.18,0.18
362,bolls,__bo_lls__,__bolz__,0.0,0.0
363,bolt,__bo_lt___,__bolt__,6.88,6.88
364,bolts,__bo_lts__,__bolts_,2.18,2.18
365,bomb,__bo_mb___,__bam___,53.65,53.65
366,bombs,__bo_mbs__,__bamz__,14.27,14.27
367,bond,__bo_nd___,__band__,31.27,31.27
368,bonds,__bo_nds__,__bandz_,6.67,6.67
369,bone,__bo_ne___,__bon___,26.06,26.06
370,bones,__bo_nes__,__bonz__,30.61,30.61
371,boo,__boo_____,__bu____,11.69,11.69
372,book,__book____,__bUk___,176.98,176.98
373,books,__books___,__bUks__,67.76,67.76
374,boom,__boom____,__bum___,21.8,21.8
375,booms,__booms___,__bumz__,0.22,0.22
376,boon,__boon____,__bun___,2.12,2.12
377,boons,__boons___,__bunz__,0.0,0.0
378,boor,__boor____,__bor___,0.06,0.06
379,boors,__boors___,__borz__,0.12,0.12
380,boos,__boos____,__buz___,0.16,0.16
381,boost,__boost___,__bust__,4.51,4.51
382,boosts,__boosts__,__busts_,0.22,0.22
383,boot,__boot____,__but___,11.14,11.14
384,booth,__booth___,__buT___,20.37,20.37
385,booths,__booths__,__buTs__,1.12,1.12
386,boots,__boots___,__buts__,19.16,19.16
387,booze,__booze___,__buz___,10.94,10.94
388,bop,__bo_p____,__bap___,1.84,1.84
389,bops,__bo_ps___,__baps__,0.04,0.04
390,bosh,__bo_sh___,__baS___,0.27,0.27
391,boss,__bo_ss___,__bas___,124.29,124.29
392,botch,__bo_tch__,__batC__,0.31,0.31
393,both,__bo_th___,__boT___,295.33,295.33
394,bough,__bough___,__bW____,0.29,0.29
395,boughs,__boughs__,__bWz___,0.35,0.35
396,bought,__bought__,__bat___,85.53,85.53
397,bounce,__bounce__,__bWns__,9.84,9.84
398,bounced,__bounced_,__bWnst_,2.96,2.96
399,bound,__bound___,__bWnd__,18.43,18.43
400,bourn,__bourn___,__born__,0.04,0.04
401,bourse,__bourse__,__bors__,0.06,0.06
402,bout,__bout____,__bWt___,19.1,19.1
403,bouts,__bouts___,__bWts__,0.51,0.51
404,bow,__bow_____,__bo____,20.27,20.27
405,bowl,__bowl____,__bol___,21.45,21.45
406,bowls,__bowls___,__bolz__,2.18,2.18
407,bows,__bows____,__boz___,1.75,1.75
408,box,__bo_x____,__baks__,89.75,89.75
409,boy,__boy_____,__bO____,529.82,529.82
410,boys,__boys____,__bOz___,224.16,224.16
411,bra,_bra______,_bra____,10.92,10.92
412,brace,_bra_ce___,_bres___,6.25,6.25
413,bract,_bra_ct___,_br@kt__,0.0,0.0
414,brad,_bra_d____,_br@d___,0.0,0.0
415,brads,_bra_ds___,_br@dz__,0.0,0.0
416,brag,_bra_g____,_br@g___,3.51,3.51
417,bragged,_bra_gged_,_br@gd__,0.59,0.59
418,brags,_bra_gs___,_br@gz__,0.33,0.33
419,braid,_braid____,_bred___,0.94,0.94
420,braids,_braids___,_bredz__,0.78,0.78
421,braille,_braille__,_brel___,0.55,0.55
422,brailles,_brailles_,_brelz__,0.0,0.0
423,brain,_brain____,_bren___,77.02,77.02
424,brains,_brains___,_brenz__,27.47,27.47
425,braise,_braise___,_brez___,0.0,0.0
426,brake,_bra_ke___,_brek___,5.98,5.98
427,brakes,_bra_kes__,_breks__,6.65,6.65
428,bran,_bra_n____,_br@n___,1.31,1.31
429,branch,_bra_nch__,_br@nC__,10.08,10.08
430,brand,_bra_nd___,_br@nd__,13.96,13.96
431,brands,_bra_nds__,_br@ndz_,1.02,1.02
432,brans,_bra_ns___,_br@nz__,0.0,0.0
433,brash,_bra_sh___,_br@S___,0.41,0.41
434,brass,_bra_ss___,_br@s___,12.12,12.12
435,brat,_bra_t____,_br@t___,6.22,6.22
436,brats,_bra_ts___,_br@ts__,1.47,1.47
437,brave,_bra_ve___,_brev___,31.71,31.71
438,brawl,_brawl____,_bral___,2.12,2.12
439,brawls,_brawls___,_bralz__,0.18,0.18
440,brawn,_brawn____,_bran___,0.57,0.57
441,brawns,_brawns___,_branz__,0.0,0.0
442,bray,_bray_____,_bre____,0.39,0.39
443,brayed,_brayed___,_bred___,0.0,0.0
444,brays,_brays____,_brez___,0.18,0.18
445,braze,_bra_ze___,_brez___,0.0,0.0
446,breach,_breach___,_briC___,6.22,6.22
447,bread,_bread____,_brEd___,28.33,28.33
448,breads,_breads___,_brEdz__,0.0,0.0
449,breadth,_breadth__,_brEdT__,0.43,0.43
450,breadths,_breadths_,_brEdTs_,0.0,0.0
451,break,_break____,_brek___,221.08,221.08
452,breast,_breast___,_brEst__,8.96,8.96
453,breasts,_breasts__,_brEsts_,12.43,12.43
454,breath,_breath___,_brET___,44.92,44.92
455,breathe,_breathe__,_briD___,48.51,48.51
456,breaths,_breaths__,_brETs__,3.1,3.1
457,breech,_breech___,_briC___,0.69,0.69
458,breed,_breed____,_brid___,6.33,6.33
459,breeds,_breeds___,_bridz__,1.06,1.06
460,breeze,_breeze___,_briz___,8.04,8.04
461,breve,_bre_ve___,_briv___,0.02,0.02
462,brew,_brew_____,_bru____,2.51,2.51
463,brews,_brews____,_bruz___,0.16,0.16
464,bribe,_bri_be___,_brAb___,6.04,6.04
465,bribed,_bri_bed__,_brAbd__,1.92,1.92
466,bribes,_bri_bes__,_brAbz__,1.43,1.43
467,brick,_bri_ck___,_brIk___,10.18,10.18
468,bricks,_bri_cks__,_brIks__,3.92,3.92
469,bride,_bri_de___,_brAd___,24.22,24.22
470,brides,_bri_des__,_brAdz__,0.92,0.92
471,bridge,_bri_dge__,_brIJ___,45.71,45.71
472,brief,_brief____,_brif___,14.35,14.35
473,briefs,_briefs___,_brifs__,0.82,0.82
474,brig,_bri_g____,_brIg___,3.04,3.04
475,bright,_bri_ght__,_brAt___,44.41,44.41
476,brigs,_bri_gs___,_brIgz__,0.0,0.0
477,brill,_bri_ll___,_brIl___,1.0,1.0
478,brim,_bri_m____,_brIm___,0.88,0.88
479,brims,_bri_ms___,_brImz__,0.04,0.04
480,brine,_bri_ne___,_brAn___,0.31,0.31
481,bring,_bri_ng___,_brIng__,327.16,327.16
482,brings,_bri_ngs__,_brIngz_,35.12,35.12
483,brink,_bri_nk___,_brInk__,2.49,2.49
484,brinks,_bri_nks__,_brInks_,0.14,0.14
485,brisk,_bri_sk___,_brIsk__,1.04,1.04
486,broach,_broach___,_broC___,0.45,0.45
487,broached,_broached_,_broCt__,0.25,0.25
488,broad,_broad____,_brad___,14.73,14.73
489,brogue,_bro_gue__,_brog___,0.16,0.16
490,broil,_broil____,_brOl___,0.29,0.29
491,broiled,_broiled__,_brOld__,0.25,0.25
492,broils,_broils___,_brOlz__,0.02,0.02
493,broke,_bro_ke___,_brok___,105.0,105.0
494,bronx,_bro_nx___,_branks_,0.0,0.0
495,bronze,_bro_nze__,_branz__,2.8,2.8
496,brooch,_brooch___,_bruC___,1.31,1.31
497,brood,_brood____,_brud___,1.08,1.08
498,broods,_broods___,_brudz__,0.02,0.02
499,brook,_brook____,_brUk___,2.04,2.04
500,brooks,_brooks___,_brUks__,8.24,8.24
501,broom,_broom____,_brum___,4.76,4.76
502,brooms,_brooms___,_brumz__,0.47,0.47
503,broth,_bro_th___,_braT___,0.88,0.88
504,broths,_bro_ths__,_braTs__,0.02,0.02
505,brought,_brought__,_brat___,172.27,172.27
506,brow,_brow_____,_brW____,1.84,1.84
507,brown,_brown____,_brWn___,60.12,60.12
508,brows,_brows____,_brWz___,0.24,0.24
509,bruise,_bruise___,_bruz___,3.24,3.24
510,brunch,_bru_nch__,_br^nC__,3.71,3.71
511,brunt,_bru_nt___,_br^nt__,0.49,0.49
512,brunts,_bru_nts__,_br^nts_,0.0,0.0
513,brush,_bru_sh___,_br^S___,14.16,14.16
514,brushed,_bru_shed_,_br^St__,2.41,2.41
515,brute,_bru_te___,_brut___,3.18,3.18
516,brutes,_bru_tes__,_bruts__,0.53,0.53
517,buck,__bu_ck___,__b^k___,33.75,33.75
518,bucks,__bu_cks__,__b^ks__,56.2,56.2
519,bud,__bu_d____,__b^d___,35.45,35.45
520,budge,__bu_dge__,__b^J___,2.04,2.04
521,budged,__bu_dged_,__b^Jd__,0.12,0.12
522,buds,__bu_ds___,__b^dz__,1.76,1.76
523,buff,__bu_ff___,__b^f___,2.49,2.49
524,bug,__bu_g____,__b^g___,20.94,20.94
525,bugs,__bu_gs___,__b^gz__,13.63,13.63
526,build,__build___,__bIld__,48.08,48.08
527,builds,__builds__,__bIldz_,3.51,3.51
528,built,__built___,__bIlt__,41.16,41.16
529,bulb,__bu_lb___,__b^lb__,3.92,3.92
530,bulbs,__bu_lbs__,__b^lbz_,1.71,1.71
531,bulge,__bu_lge__,__b^lJ__,0.94,0.94
532,bulged,__bu_lged_,__b^lJd_,0.02,0.02
533,bulk,__bu_lk___,__b^lk__,1.9,1.9
534,bulks,__bu_lks__,__b^lks_,0.02,0.02
535,bull,__bu_ll___,__bUl___,27.51,27.51
536,bulls,__bu_lls__,__bUlz__,5.18,5.18
537,bum,__bu_m____,__b^m___,15.43,15.43
538,bump,__bu_mp___,__b^mp__,12.35,12.35
