,word,ort,pho,wf,cf,rcf,p
25,aisle,___aisle__,___Al_____,81.0,81.0,9.0,8.40459941912706e-05
26,aisles,___aisles_,___Alz____,75.0,75.0,8.660254037844387,8.087329561773301e-05
27,ale,___a_le___,___el_____,92.0,92.0,9.591663046625438,8.957120630014515e-05
28,ales,___a_les__,___elz____,9.0,9.0,3.0,2.80153313970902e-05
29,all,___a_ll___,___al_____,62510.0,10000.0,100.0,0.0009338443799030066
30,alms,___a_lms__,___almz___,9.0,9.0,3.0,2.80153313970902e-05
31,alp,___a_lp___,___@lp____,3.0,3.0,1.7320508075688772,1.61746591235466e-05
32,alps,___a_lps__,___@lps___,64.0,64.0,8.0,7.470755039224053e-05
33,am,___a_m____,___@m_____,6097.0,6097.0,78.08328886515987,0.0007291764047107257
34,amp,___a_mp___,___@mp____,58.0,58.0,7.615773105863909,7.111946913527477e-05
35,an,___a_n____,___@n_____,182440.0,10000.0,100.0,0.0009338443799030066
36,and,___a_nd___,___@nd____,909157.0,10000.0,100.0,0.0009338443799030066
37,angst,___a_ngst_,___@ngst__,68.0,68.0,8.246211251235321,7.700678032459045e-05
38,ant,___a_nt___,___@nt____,18.0,18.0,4.242640687119285,3.961966161614174e-05
39,ants,___a_nts__,___@nts___,29.0,29.0,5.385164807134504,5.028905889994015e-05
40,ape,___a_pe___,___ep_____,18.0,18.0,4.242640687119285,3.961966161614174e-05
41,apes,___a_pes__,___eps____,10.0,10.0,3.1622776601683795,2.9530752206410712e-05
42,apse,___a_pse__,___@ps____,1.0,1.0,1.0,9.338443799030067e-06
43,apt,___a_pt___,___@pt____,239.0,239.0,15.459624833740307,0.0001443688376639734
44,arc,___a_rc___,___ark____,245.0,245.0,15.652475842498529,0.0001461697659708483
45,arch,___a_rch__,___arC____,184.0,184.0,13.564659966250536,0.0001266728147477837
46,arcs,___a_rcs__,___arks___,16.0,16.0,4.0,3.735377519612027e-05
47,are,___a_re___,___ar_____,177808.0,10000.0,100.0,0.0009338443799030066
48,ark,___a_rk___,___ark____,446.0,446.0,21.118712081942874,0.00019721590588512078
49,arks,___a_rks__,___arks___,4.0,4.0,2.0,1.8676887598060133e-05
50,arm,___a_rm___,___arm____,1912.0,1912.0,43.726422218150894,0.0004083367364168617
51,arms,___a_rms__,___armz___,6684.0,6684.0,81.75573374387878,0.0007634713248156779
52,arse,___a_rse__,___ars____,1.0,1.0,1.0,9.338443799030067e-06
53,art,___a_rt___,___art____,3920.0,3920.0,62.609903369994115,0.0005846790638833932
54,arts,___a_rts__,___arts___,1109.0,1109.0,33.301651610693426,0.00031098560198133967
55,as,___a_s____,___@z_____,255899.0,10000.0,100.0,0.0009338443799030066
56,ash,___a_sh___,___@S_____,165.0,165.0,12.84523257866513,0.00011995448252133437
57,ask,___a_sk___,___@sk____,3500.0,3500.0,59.16079783099616,0.0005524697856505375
58,asked,___a_sked_,___@skt___,10178.0,10000.0,100.0,0.0009338443799030066
59,asks,___a_sks__,___@sks___,1711.0,1711.0,41.36423575989287,0.0003862775909335893
60,asp,___a_sp___,___@sp____,2.0,2.0,1.4142135623730951,1.320655387204725e-05
61,asps,___a_sps__,___@sps___,0.0,0.0,0.0,0.0
62,ass,___a_ss___,___@s_____,27.0,27.0,5.196152422706632,4.852397737063981e-05
63,at,___a_t____,___@t_____,241045.0,10000.0,100.0,0.0009338443799030066
64,ate,___a_te___,___et_____,156.0,156.0,12.489995996796797,0.00011663712566619739
65,aught,___aught__,___at_____,0.0,0.0,0.0,0.0
66,aunt,___aunt___,___ant____,112.0,112.0,10.583005244258363,9.882879969834718e-05
67,aunts,___aunts__,___ants___,9.0,9.0,3.0,2.80153313970902e-05
68,awe,___awe____,___a______,67.0,67.0,8.18535277187245,7.643845683536584e-05
69,awes,___awes___,___az_____,1.0,1.0,1.0,9.338443799030067e-06
70,awl,___awl____,___al_____,0.0,0.0,0.0,0.0
71,awls,___awls___,___alz____,0.0,0.0,0.0,0.0
72,awn,___awn____,___an_____,0.0,0.0,0.0,0.0
73,ax,___a_x____,___@ks____,106.0,106.0,10.295630140987,9.61451634472071e-05
74,axe,___a_xe___,___@ks____,17.0,17.0,4.123105625617661,3.850339016229523e-05
75,aye,___aye____,___A______,4.0,4.0,2.0,1.8676887598060133e-05
76,babe,__ba_be___,__beb_____,38.0,38.0,6.164414002968976,5.756603372067974e-05
77,babes,__ba_bes__,__bebz____,12.0,12.0,3.4641016151377544,3.23493182470932e-05
78,back,__ba_ck___,__b@k_____,23300.0,10000.0,100.0,0.0009338443799030066
79,bad,__ba_d____,__b@d_____,5766.0,5766.0,75.93418202627852,0.000709107091277721
80,badge,__ba_dge__,__b@J_____,78.0,78.0,8.831760866327848,8.24749024966757e-05
81,bag,__ba_g____,__b@g_____,628.0,628.0,25.059928172283335,0.00023402073084459818
82,bags,__ba_gs___,__b@gz____,725.0,725.0,26.92582403567252,0.00025144529449970076
83,bail,__bail____,__bel_____,516.0,516.0,22.715633383201094,0.00021212866570839462
84,bails,__bails___,__belz____,6.0,6.0,2.449489742783178,2.287442229928132e-05
85,bait,__bait____,__bet_____,187.0,187.0,13.674794331177344,0.00012770129832499457
86,baits,__baits___,__bets____,7.0,7.0,2.6457513110645907,2.4707199924586796e-05
87,bake,__ba_ke___,__bek_____,34.0,34.0,5.830951894845301,5.4452016564860716e-05
88,baked,__ba_ked__,__bekt____,162.0,162.0,12.727922061357855,0.00011885898484842524
89,bakes,__ba_kes__,__beks____,71.0,71.0,8.426149773176359,7.868712609901736e-05
90,bald,__ba_ld___,__bald____,103.0,103.0,10.14889156509222,9.477485350306398e-05
91,bale,__ba_le___,__bel_____,11.0,11.0,3.3166247903554,3.0972114207203774e-05
92,bales,__ba_les__,__belz____,252.0,252.0,15.874507866387544,0.00014824319954752078
93,balk,__ba_lk___,__balk____,126.0,126.0,11.224972160321824,0.00010482377166484247
94,balked,__ba_lked_,__balkt___,292.0,292.0,17.08800749063506,0.00015957539758870031
95,balks,__ba_lks__,__balks___,31.0,31.0,5.5677643628300215,5.19942545885306e-05
96,ball,__ba_ll___,__bal_____,1393.0,1393.0,37.322915213043046,0.0003485379461329668
97,balls,__ba_lls__,__balz____,196.0,196.0,14.0,0.00013073821318642092
98,balm,__ba_lm___,__bam_____,31.0,31.0,5.5677643628300215,5.19942545885306e-05
99,balms,__ba_lms__,__bamz____,0.0,0.0,0.0,0.0
100,ban,__ba_n____,__b@n_____,2298.0,2298.0,47.93745925682754,0.0004476612691381776
101,band,__ba_nd___,__b@nd____,900.0,900.0,30.0,0.000280153313970902
102,bands,__ba_nds__,__b@ndz___,163.0,163.0,12.767145334803704,0.00011922526918311328
103,bane,__ba_ne___,__ben_____,38.0,38.0,6.164414002968976,5.756603372067974e-05
104,banes,__ba_nes__,__benz____,1.0,1.0,1.0,9.338443799030067e-06
105,bang,__ba_ng___,__b@ng____,346.0,346.0,18.601075237738275,0.00017370509570914871
106,banged,__ba_nged_,__b@ngd___,17.0,17.0,4.123105625617661,3.850339016229523e-05
107,bangs,__ba_ngs__,__b@ngz___,20.0,20.0,4.47213595499958,4.176279027738523e-05
108,bank,__ba_nk___,__b@nk____,53170.0,10000.0,100.0,0.0009338443799030066
109,banks,__ba_nks__,__b@nks___,24293.0,10000.0,100.0,0.0009338443799030066
110,bans,__ba_ns___,__b@nz____,263.0,263.0,16.217274740226856,0.0001514441087350384
111,bar,__ba_r____,__bar_____,2199.0,2199.0,46.89349635077342,0.00043791228021171905
112,barb,__ba_rb___,__barb____,19.0,19.0,4.358898943540674,4.0705332809906117e-05
113,barbs,__ba_rbs__,__barbz___,43.0,43.0,6.557438524302,6.123627112478889e-05
114,bard,__ba_rd___,__bard____,68.0,68.0,8.246211251235321,7.700678032459045e-05
115,bards,__ba_rds__,__bardz___,2.0,2.0,1.4142135623730951,1.320655387204725e-05
116,bare,__ba_re___,__bEr_____,261.0,261.0,16.15549442140351,0.00015086717669982044
117,barge,__ba_rge__,__barJ____,170.0,170.0,13.038404810405298,0.00012175841055097315
118,bark,__ba_rk___,__bark____,61.0,61.0,7.810249675906654,7.293557765484708e-05
119,barked,__ba_rked_,__barkt___,9.0,9.0,3.0,2.80153313970902e-05
120,barks,__ba_rks__,__barks___,19.0,19.0,4.358898943540674,4.0705332809906117e-05
121,barn,__ba_rn___,__barn____,161.0,161.0,12.68857754044952,0.000118491568251123
122,barns,__ba_rns__,__barnz___,31.0,31.0,5.5677643628300215,5.19942545885306e-05
123,bars,__ba_rs___,__barz____,767.0,767.0,27.694764848252458,0.000258626005062759
124,base,__ba_se___,__bes_____,6018.0,6018.0,77.57576941287789,0.0007244369628286758
125,based,__ba_sed__,__best____,53865.0,10000.0,100.0,0.0009338443799030066
126,bash,__ba_sh___,__b@S_____,114.0,114.0,10.677078252031311,9.970729519444057e-05
127,bask,__ba_sk___,__b@sk____,21.0,21.0,4.58257569495584,4.279412558214626e-05
128,basked,__ba_sked_,__b@skt___,10.0,10.0,3.1622776601683795,2.9530752206410712e-05
129,basks,__ba_sks__,__b@sks___,1.0,1.0,1.0,9.338443799030067e-06
130,bast,__ba_st___,__b@st____,4.0,4.0,2.0,1.8676887598060133e-05
131,baste,__ba_ste__,__best____,0.0,0.0,0.0,0.0
132,bastes,__ba_stes_,__bests___,0.0,0.0,0.0,0.0
133,bat,__ba_t____,__b@t_____,1468.0,1468.0,38.31448812133603,0.0003577976940097016
134,batch,__ba_tch__,__b@tC____,182.0,182.0,13.490737563232042,0.00012598249454170624
135,bate,__ba_te___,__bet_____,1.0,1.0,1.0,9.338443799030067e-06
136,bath,__ba_th___,__b@T_____,272.0,272.0,16.492422502470642,0.0001540135606491809
137,bathe,__ba_the__,__beD_____,17.0,17.0,4.123105625617661,3.850339016229523e-05
138,bathed,__ba_thed_,__beDd____,34.0,34.0,5.830951894845301,5.4452016564860716e-05
139,bathes,__ba_thes_,__beDz____,7.0,7.0,2.6457513110645907,2.4707199924586796e-05
140,baths,__ba_ths__,__b@Dz____,47.0,47.0,6.855654600401044,6.402114519140708e-05
141,bats,__ba_ts___,__b@ts____,79.0,79.0,8.888194417315589,8.300190404095442e-05
142,bawl,__bawl____,__bal_____,0.0,0.0,0.0,0.0
143,bawled,__bawled__,__bald____,0.0,0.0,0.0,0.0
144,bawls,__bawls___,__balz____,2.0,2.0,1.4142135623730951,1.320655387204725e-05
145,bay,__bay_____,__be______,1452.0,1452.0,38.1051177665153,0.0003558425007180252
146,bays,__bays____,__bez_____,66.0,66.0,8.12403840463596,7.586587606285481e-05
147,be,__be______,__bi______,203275.0,10000.0,100.0,0.0009338443799030066
148,beach,__beach___,__biC_____,1691.0,1691.0,41.12177038990418,0.00038401334170273886
149,bead,__bead____,__bid_____,12.0,12.0,3.4641016151377544,3.23493182470932e-05
150,beads,__beads___,__bidz____,77.0,77.0,8.774964387392123,8.194451177015163e-05
151,beak,__beak____,__bik_____,10.0,10.0,3.1622776601683795,2.9530752206410712e-05
152,beaks,__beaks___,__biks____,3.0,3.0,1.7320508075688772,1.61746591235466e-05
153,beam,__beam____,__bim_____,267.0,267.0,16.34013463836819,0.00015259142898898582
154,beams,__beams___,__bimz____,142.0,142.0,11.916375287812984,0.00011128040091339229
155,bean,__bean____,__bin_____,200.0,200.0,14.142135623730951,0.0001320655387204725
156,beans,__beans___,__binz____,301.0,301.0,17.349351572897472,0.00016201594461311692
157,bear,__bear____,__bEr_____,3520.0,3520.0,59.329587896765304,0.0005540460221935572
158,beard,__beard___,__bird____,210.0,210.0,14.491376746189438,0.00013532690731486125
159,beards,__beards__,__birdz___,20.0,20.0,4.47213595499958,4.176279027738523e-05
160,bears,__bears___,__bErz____,740.0,740.0,27.202941017470888,0.00025403313585998166
161,beast,__beast___,__bist____,96.0,96.0,9.797958971132712,9.149768919712528e-05
162,beasts,__beasts__,__bists___,42.0,42.0,6.48074069840786,6.052003278816867e-05
163,beat,__beat____,__bit_____,1315.0,1315.0,36.26292872893749,0.00033863932192341556
164,beat,__beat____,__bit_____,1315.0,1315.0,36.26292872893749,0.00033863932192341556
165,beats,__beats___,__bits____,117.0,117.0,10.816653826391969,0.00010101071385132492
166,beau,__beau____,__bo______,31.0,31.0,5.5677643628300215,5.19942545885306e-05
167,beaus,__beaus___,__boz_____,1.0,1.0,1.0,9.338443799030067e-06
168,beck,__be_ck___,__bEk_____,135.0,135.0,11.61895003862225,0.0001085029119394121
169,becks,__be_cks__,__bEks____,0.0,0.0,0.0,0.0
170,bed,__be_d____,__bEd_____,665.0,665.0,25.787593916455254,0.00024081599650102703
171,beds,__be_ds___,__bEdz____,300.0,300.0,17.320508075688775,0.00016174659123546601
172,bee,__bee_____,__bi______,191.0,191.0,13.820274961085254,0.00012905986101123708
173,beech,__beech___,__biC_____,184.0,184.0,13.564659966250536,0.0001266728147477837
174,beef,__beef____,__bif_____,1327.0,1327.0,36.42801120017397,0.0003401809353032624
175,beefs,__beefs___,__bifs____,10.0,10.0,3.1622776601683795,2.9530752206410712e-05
176,beep,__beep____,__bip_____,23.0,23.0,4.795831523312719,4.4785603150072576e-05
177,beeps,__beeps___,__bips____,7.0,7.0,2.6457513110645907,2.4707199924586796e-05
178,beer,__beer____,__bir_____,1618.0,1618.0,40.22437072223753,0.0003756330253409656
179,beers,__beers___,__birz____,304.0,304.0,17.435595774162696,0.00016282133123962447
180,bees,__bees____,__biz_____,110.0,110.0,10.488088481701515,9.794242484562418e-05
181,beet,__beet____,__bit_____,111.0,111.0,10.535653752852738,9.83866104570555e-05
182,beets,__beets___,__bits____,39.0,39.0,6.244997998398398,5.8318562833098697e-05
183,beg,__be_g____,__bEg_____,67.0,67.0,8.18535277187245,7.643845683536584e-05
184,begged,__be_gged_,__bEgd____,51.0,51.0,7.14142842854285,6.668982802474301e-05
185,begs,__be_gs___,__bEgz____,46.0,46.0,6.782329983125268,6.333640737389185e-05
186,beige,__beige___,__beZ_____,43.0,43.0,6.557438524302,6.123627112478889e-05
187,belch,__be_lch__,__bElC____,9.0,9.0,3.0,2.80153313970902e-05
188,bell,__be_ll___,__bEl_____,4691.0,4691.0,68.49087530467106,0.000639598189779047
189,belle,__be_lle__,__bEl_____,52.0,52.0,7.211102550927978,6.734047590088327e-05
190,belles,__be_lles_,__bElz____,1.0,1.0,1.0,9.338443799030067e-06
191,bells,__be_lls__,__bElz____,476.0,476.0,21.817424229271428,0.0002037407900046481
192,belt,__be_lt___,__bElt____,987.0,987.0,31.416556144810016,0.00029338174391738104
193,belts,__be_lts__,__bElts___,314.0,314.0,17.72004514666935,0.00016547764571844722
194,bench,__be_nch__,__bEnC____,382.0,382.0,19.544820285692065,0.00018251820580007813
195,bend,__be_nd___,__bEnd____,320.0,320.0,17.88854381999832,0.00016705116110954092
196,bends,__be_nds__,__bEndz___,19.0,19.0,4.358898943540674,4.0705332809906117e-05
197,bent,__be_nt___,__bEnt____,299.0,299.0,17.291616465790582,0.00016147678856016825
198,berg,__be_rg___,__b^rg____,207.0,207.0,14.38749456993816,0.00013435680945021776
199,bergs,__be_rgs__,__b^rgz___,0.0,0.0,0.0,0.0
200,berth,__be_rth__,__b^rT____,27.0,27.0,5.196152422706632,4.852397737063981e-05
201,berths,__be_rths_,__b^rTs___,27.0,27.0,5.196152422706632,4.852397737063981e-05
202,best,__be_st___,__bEst____,11512.0,10000.0,100.0,0.0009338443799030066
203,bet,__be_t____,__bEt_____,1012.0,1012.0,31.811947441173732,0.00029707408331709924
204,bet,__be_t____,__bEt_____,1012.0,1012.0,31.811947441173732,0.00029707408331709924
205,bets,__be_ts___,__bEts____,350.0,350.0,18.708286933869708,0.00017470628610807078
206,bey,__bey_____,__be______,1.0,1.0,1.0,9.338443799030067e-06
207,bib,__bi_b____,__bIb_____,5.0,5.0,2.23606797749979,2.0881395138692615e-05
208,bibs,__bi_bs___,__bIbz____,2.0,2.0,1.4142135623730951,1.320655387204725e-05
209,bid,__bi_d____,__bId_____,20125.0,10000.0,100.0,0.0009338443799030066
210,bide,__bi_de___,__bAd_____,11.0,11.0,3.3166247903554,3.0972114207203774e-05
211,bids,__bi_ds___,__bIdz____,3349.0,3349.0,57.87054518492115,0.0005404208338286162
212,bier,__bier____,__bir_____,2.0,2.0,1.4142135623730951,1.320655387204725e-05
213,biers,__biers___,__birz____,0.0,0.0,0.0,0.0
214,biff,__bi_ff___,__bIf_____,12.0,12.0,3.4641016151377544,3.23493182470932e-05
215,big,__bi_g____,__bIg_____,28257.0,10000.0,100.0,0.0009338443799030066
216,bike,__bi_ke___,__bAk_____,153.0,153.0,12.36931687685298,0.00011551017048688566
217,bikes,__bi_kes__,__bAks____,92.0,92.0,9.591663046625438,8.957120630014515e-05
218,bile,__bi_le___,__bAl_____,21.0,21.0,4.58257569495584,4.279412558214626e-05
219,biles,__bi_les__,__bAlz____,0.0,0.0,0.0,0.0
220,bilge,__bi_lge__,__bIlJ____,2.0,2.0,1.4142135623730951,1.320655387204725e-05
221,bilk,__bi_lk___,__bIlk____,15.0,15.0,3.872983346207417,3.616763731313737e-05
222,bilked,__bi_lked_,__bIlkt___,48.0,48.0,6.928203230275509,6.46986364941864e-05
223,bilks,__bi_lks__,__bIlks___,2.0,2.0,1.4142135623730951,1.320655387204725e-05
224,bill,__bi_ll___,__bIl_____,14420.0,10000.0,100.0,0.0009338443799030066
225,bills,__bi_lls__,__bIlz____,5647.0,5647.0,75.14652353901675,0.0007017515867615979
226,bin,__bi_n____,__bIn_____,55.0,55.0,7.416198487095663,6.925575277419465e-05
227,bind,__bi_nd___,__bAnd____,217.0,217.0,14.730919862656235,0.00013756386724543096
228,binds,__bi_nds__,__bAndz___,39.0,39.0,6.244997998398398,5.8318562833098697e-05
229,binge,__bi_nge__,__bInJ____,250.0,250.0,15.811388300841896,0.00014765376103205354
230,bins,__bi_ns___,__bInz____,49.0,49.0,7.0,6.536910659321046e-05
231,birch,__bi_rch__,__b^rC____,104.0,104.0,10.198039027185569,9.523381431568769e-05
232,bird,__bi_rd___,__b^rd____,469.0,469.0,21.656407827707714,0.00020223714738792329
233,birds,__bi_rds__,__b^rdz___,358.0,358.0,18.920887928424502,0.00017669164854733864
234,birth,__bi_rth__,__b^rT____,993.0,993.0,31.51190251317746,0.000294272130619822
235,births,__bi_rths_,__b^rTs___,179.0,179.0,13.379088160259652,0.00012493986286685332
236,bisque,__bi_sque_,__bIsk____,2.0,2.0,1.4142135623730951,1.320655387204725e-05
237,bit,__bi_t____,__bIt_____,3372.0,3372.0,58.0689245638319,0.0005422733885094607
238,bitch,__bi_tch__,__bItC____,34.0,34.0,5.830951894845301,5.4452016564860716e-05
239,bite,__bi_te___,__bAt_____,399.0,399.0,19.974984355438178,0.00018653526878976422
240,bits,__bi_ts___,__bIts____,286.0,286.0,16.911534525287763,0.0001579274147197564
241,biz,__bi_z____,__bIz_____,43.0,43.0,6.557438524302,6.123627112478889e-05
242,blab,_bla_b____,_bl@b_____,0.0,0.0,0.0,0.0
243,blabbed,_bla_bbed_,_bl@bd____,0.0,0.0,0.0,0.0
244,blabs,_bla_bs___,_bl@bz____,1.0,1.0,1.0,9.338443799030067e-06
245,black,_bla_ck___,_bl@k_____,9765.0,9765.0,98.81801455200362,0.0009228064752256211
246,blade,_bla_de___,_bled_____,118.0,118.0,10.862780491200215,0.00010144146511827342
247,blades,_bla_des__,_bledz____,185.0,185.0,13.601470508735444,0.00012701656792999083
248,blah,_blah_____,_bla______,10.0,10.0,3.1622776601683795,2.9530752206410712e-05
249,blame,_bla_me___,_blem_____,1432.0,1432.0,37.841775856849004,0.0003533832970946773
250,blamed,_bla_med__,_blemd____,1463.0,1463.0,38.24918299781056,0.00035718784578387026
251,blames,_bla_mes__,_blemz____,306.0,306.0,17.4928556845359,0.00016335604969458213
252,blanch,_bla_nch__,_bl@nC____,17.0,17.0,4.123105625617661,3.850339016229523e-05
253,blanched,_bla_nched,_bl@nCt___,5.0,5.0,2.23606797749979,2.0881395138692615e-05
254,bland,_bla_nd___,_bl@nd____,116.0,116.0,10.770329614269007,0.0001005781177998803
255,blank,_bla_nk___,_bl@nk____,250.0,250.0,15.811388300841896,0.00014765376103205354
256,blare,_bla_re___,_blEr_____,11.0,11.0,3.3166247903554,3.0972114207203774e-05
257,blared,_bla_red__,_blErd____,16.0,16.0,4.0,3.735377519612027e-05
258,blares,_bla_res__,_blErz____,25.0,25.0,5.0,4.669221899515033e-05
259,blast,_bla_st___,_bl@st____,276.0,276.0,16.61324772583615,0.00015514188020708495
260,blasts,_bla_sts__,_bl@sts___,66.0,66.0,8.12403840463596,7.586587606285481e-05
261,blaze,_bla_ze___,_blez_____,75.0,75.0,8.660254037844387,8.087329561773301e-05
262,blazed,_bla_zed__,_blezd____,9.0,9.0,3.0,2.80153313970902e-05
263,bleach,_bleach___,_bliC_____,61.0,61.0,7.810249675906654,7.293557765484708e-05
264,bleached,_bleached_,_bliCt____,47.0,47.0,6.855654600401044,6.402114519140708e-05
265,bleak,_bleak____,_blik_____,276.0,276.0,16.61324772583615,0.00015514188020708495
266,bleat,_bleat____,_blit_____,1.0,1.0,1.0,9.338443799030067e-06
267,bleats,_bleats___,_blits____,0.0,0.0,0.0,0.0
268,bled,_ble_d____,_blEd_____,32.0,32.0,5.656854249492381,5.2826215488189e-05
269,bleed,_bleed____,_blid_____,40.0,40.0,6.324555320336759,5.9061504412821423e-05
270,bleeds,_bleeds___,_blidz____,18.0,18.0,4.242640687119285,3.961966161614174e-05
271,bleep,_bleep____,_blip_____,15.0,15.0,3.872983346207417,3.616763731313737e-05
272,bleeps,_bleeps___,_blips____,4.0,4.0,2.0,1.8676887598060133e-05
273,blend,_ble_nd___,_blEnd____,268.0,268.0,16.3707055437449,0.0001528769136707317
274,blends,_ble_nds__,_blEndz___,61.0,61.0,7.810249675906654,7.293557765484708e-05
275,bless,_ble_ss___,_blEs_____,42.0,42.0,6.48074069840786,6.052003278816867e-05
276,blessed,_ble_ssed_,_blEst____,91.0,91.0,9.539392014169456,8.908307620123769e-05
277,blew,_blew_____,_blu______,222.0,222.0,14.89966442575134,0.00013913967886428646
278,blight,_bli_ght__,_blAt_____,39.0,39.0,6.244997998398398,5.8318562833098697e-05
279,blights,_bli_ghts_,_blAts____,3.0,3.0,1.7320508075688772,1.61746591235466e-05
280,blimp,_bli_mp___,_blImp____,88.0,88.0,9.38083151964686,8.760236793439201e-05
281,blimps,_bli_mps__,_blImps___,38.0,38.0,6.164414002968976,5.756603372067974e-05
282,blind,_bli_nd___,_blAnd____,550.0,550.0,23.45207879911715,0.00021900591983598004
283,blink,_bli_nk___,_blInk____,53.0,53.0,7.280109889280518,6.798489705180911e-05
284,blinked,_bli_nked_,_blInkt___,23.0,23.0,4.795831523312719,4.4785603150072576e-05
285,blinks,_bli_nks__,_blInks___,16.0,16.0,4.0,3.735377519612027e-05
286,blip,_bli_p____,_blIp_____,102.0,102.0,10.099504938362077,9.431365926492087e-05
287,blips,_bli_ps___,_blIps____,34.0,34.0,5.830951894845301,5.4452016564860716e-05
288,bliss,_bli_ss___,_blIs_____,51.0,51.0,7.14142842854285,6.668982802474301e-05
289,blithe,_bli_the__,_blAT_____,22.0,22.0,4.69041575982343,4.3801183967196006e-05
290,blitz,_bli_tz___,_blIts____,176.0,176.0,13.2664991614216,0.0001238884568288151
291,bloat,_bloat____,_blot_____,8.0,8.0,2.8284271247461903,2.64131077440945e-05
292,bloats,_bloats___,_blots____,1.0,1.0,1.0,9.338443799030067e-06
293,blob,_blo_b____,_blab_____,16.0,16.0,4.0,3.735377519612027e-05
294,blobs,_blo_bs___,_blabz____,3.0,3.0,1.7320508075688772,1.61746591235466e-05
295,bloc,_blo_c____,_blak_____,1008.0,1008.0,31.74901573277509,0.00029648639909504157
296,block,_blo_ck___,_blak_____,4366.0,4366.0,66.07571414672717,0.0006170443430399876
297,blocks,_blo_cks__,_blaks____,919.0,919.0,30.315012782448235,0.0002830950431357709
298,blocs,_blo_cs___,_blaks____,38.0,38.0,6.164414002968976,5.756603372067974e-05
299,bloke,_blo_ke___,_blok_____,3.0,3.0,1.7320508075688772,1.61746591235466e-05
300,blokes,_blo_kes__,_bloks____,8.0,8.0,2.8284271247461903,2.64131077440945e-05
301,blond,_blo_nd___,_bland____,168.0,168.0,12.96148139681572,0.00012104006557633734
302,blonde,_blo_nde__,_bland____,76.0,76.0,8.717797887081348,8.141066561981223e-05
303,blood,_blood____,_bl^d_____,2656.0,2656.0,51.536394906900505,0.0004812697274427097
304,bloods,_bloods___,_bl^dz____,14.0,14.0,3.7416573867739413,3.4941257221614156e-05
305,bloom,_bloom____,_blum_____,344.0,344.0,18.547236990991408,0.0001732023302676648
306,bloomed,_bloomed__,_blumd____,10.0,10.0,3.1622776601683795,2.9530752206410712e-05
307,blooms,_blooms___,_blumz____,21.0,21.0,4.58257569495584,4.279412558214626e-05
308,blot,_blo_t____,_blat_____,41.0,41.0,6.4031242374328485,5.979521582947391e-05
309,blotch,_blo_tch__,_blatC____,5.0,5.0,2.23606797749979,2.0881395138692615e-05
310,blots,_blo_ts___,_blats____,6.0,6.0,2.449489742783178,2.287442229928132e-05
311,blouse,_blouse___,_blWs_____,22.0,22.0,4.69041575982343,4.3801183967196006e-05
312,blow,_blow_____,_blo______,1174.0,1174.0,34.26368339802363,0.0003199694817602032
313,blows,_blows____,_bloz_____,167.0,167.0,12.922847983320086,0.00012067928961564366
314,blue,_blue_____,_blu______,4164.0,4164.0,64.52906321960671,0.0006026010302803554
315,blues,_blues____,_bluz_____,263.0,263.0,16.217274740226856,0.0001514441087350384
