"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL","SUBTLWF"
"1","awls","4","3","1.099","#"
"1","ax","2","3,139","8.052","4.330"
"1","axe","3","3,070","8.029","4.880"
"1","aye","3","847","6.742","43.840"
"1","babe","4","3,163","8.059","35.570"
"1","babes","5","1,334","7.196","3.470"
"1","back","4","393,090","12.882","2,009.160"
"1","bad","3","153,580","11.942","545.180"
"1","badge","5","2,039","7.620","15.250"
"1","bag","3","16,427","9.707","94.040"
"1","bags","4","5,805","8.666","28.550"
"1","bail","4","2,583","7.857","17.350"
"1","bails","5","227","5.425","0.220"
"1","bait","4","4,289","8.364","9.730"
"1","baits","5","519","6.252","0.180"
"1","baize","5","7","1.946","#"
"1","bake","4","2,528","7.835","6.330"
"1","baked","5","1,780","7.484","6.690"
"1","bakes","5","72","4.277","0.530"
"1","bald","4","2,764","7.924","9.730"
"1","bale","4","557","6.323","2.040"
"1","bales","5","477","6.168","0.180"
"1","balk","4","286","5.656","0.060"
"1","balked","6","225","5.416","0.180"
"1","balks","5","96","4.564","0.020"
"1","ball","4","38,502","10.558","104.960"
"1","balls","5","13,293","9.495","40.160"
"1","balm","4","1,511","7.321","0.590"
"1","balms","5","4","1.386","0.020"
"1","ban","3","11,740","9.371","3.140"
"1","band","4","49,179","10.803","53.410"
"1","bands","5","17,342","9.761","5.370"
"1","bane","4","957","6.864","1.840"
"1","bang","4","6,789","8.823","19.980"
"1","banged","6","579","6.361","3.140"
"1","bangs","5","826","6.717","1.800"
"1","bank","4","39,506","10.584","84.980"
"1","banks","5","13,353","9.499","15.900"
"1","bans","4","1,179","7.072","0.020"
"1","bar","3","31,561","10.360","85.980"
"1","barb","4","1,355","7.212","2.310"
"1","barbs","5","469","6.151","0.240"
"1","bard","4","1,202","7.092","0.800"
"1","bards","5","255","5.541","0.020"
"1","bare","4","8,494","9.047","8.330"
"1","barge","5","3,041","8.020","3.880"
"1","bark","4","2,441","7.800","5.490"
"1","barked","6","342","5.835","0.350"
"1","barks","5","423","6.047","3.220"
"1","barm","4","5","1.609","#"
"1","barn","4","2,575","7.854","13.590"
"1","barns","5","323","5.778","0.410"
"1","bars","4","9,206","9.128","17.960"
"1","base","4","59,143","10.988","35.370"
"1","based","5","131,502","11.787","26.610"
"1","bash","4","4,672","8.449","3.270"
"1","bask","4","256","5.545","0.570"
"1","basked","6","43","3.761","0.020"
"1","basks","5","53","3.970","#"
"1","bast","4","427","6.057","0.250"
"1","baste","5","127","4.844","0.350"
"1","bastes","6","3","1.099","#"
"1","bat","3","6,469","8.775","20.630"
"1","batch","5","10,263","9.236","4.160"
"1","bate","4","182","5.204","0.060"
"1","bath","4","5,621","8.634","31.120"
"1","bathe","5","670","6.507","2.510"
"1","bathed","6","502","6.219","1.390"
"1","bathes","6","40","3.689","0.240"
"1","baths","5","1,084","6.988","3.160"
"1","bats","4","3,884","8.265","6.060"
"1","bawl","4","66","4.190","0.550"
"1","bawled","6","45","3.807","0.240"
"1","bawls","5","9","2.197","0.080"
"1","bay","3","32,845","10.400","24.240"
"1","bays","4","1,167","7.062","0.220"
"1","be","2","3,095,437","14.945","5,746.760"
"1","beach","5","26,666","10.191","56.630"
"1","bead","4","1,824","7.509","1.120"
"1","beads","5","2,210","7.701","3.530"
"1","beak","4","582","6.366","2.100"
"1","beaks","5","167","5.118","0.250"
"1","beam","4","7,878","8.972","8.730"
"1","beams","5","1,990","7.596","2.690"
"1","bean","4","3,575","8.182","6.840"
"1","beans","5","4,851","8.487","14.430"
"1","bear","4","23,529","10.066","57.410"
"1","beard","5","3,173","8.062","12.610"
"1","beards","6","384","5.951","0.760"
"1","bears","5","8,356","9.031","11.390"
"1","beast","5","16,393","9.705","24.550"
"1","beasts","6","3,388","8.128","3.730"
"1","beats","5","6,306","8.749","15.040"
"1","beau","4","1,014","6.922","5.840"
"1","beck","4","2,083","7.642","3.820"
"1","becks","5","34","3.526","0.250"
"1","bed","3","31,345","10.353","187.120"
"1","beds","4","2,424","7.793","8.570"
"1","bee","3","3,288","8.098","10.350"
"1","beech","5","509","6.232","0.350"
"1","beef","4","5,285","8.573","19.710"
"1","beefs","5","78","4.357","0.510"
"1","beep","4","2,303","7.742","6.510"
"1","beeps","5","1,160","7.056","3.000"
"1","beer","4","24,708","10.115","75.490"
"1","beers","5","4,093","8.317","10.750"
"1","bees","4","5,073","8.532","5.330"
"1","beet","4","420","6.040","0.270"
"1","beets","5","157","5.056","1.020"
"1","beg","3","4,583","8.430","50.980"
"1","begged","6","1,190","7.082","7.270"
"1","begs","4","1,175","7.069","1.410"
"1","beige","5","1,329","7.192","1.350"
"1","belch","5","283","5.645","0.730"
"1","bell","4","24,815","10.119","39.330"
"1","belle","5","2,288","7.735","8.100"
"1","belles","6","204","5.318","0.160"
"1","bells","5","2,899","7.972","13.160"
"1","belt","4","10,820","9.289","24.350"
"1","belts","5","2,336","7.756","4.980"
"1","Ben","3","22,159","10.006","97.920"
"1","bench","5","5,360","8.587","9.670"
"1","bend","4","6,891","8.838","15.060"
"1","bends","5","1,134","7.034","1.510"
"1","bent","4","8,475","9.045","7.220"
"1","berg","4","1,871","7.534","1.550"
"1","bergs","5","119","4.779","0.020"
"1","berth","5","393","5.974","0.780"
"1","berths","6","96","4.564","0.140"
"1","best","4","269,708","12.505","404.370"
"1","bets","4","3,245","8.085","10.530"
"1","bey","3","807","6.693","0.510"
"1","bib","3","781","6.661","0.490"
"1","bibs","4","144","4.970","0.250"
"1","bid","3","121,985","11.712","12.590"
"1","bide","4","244","5.497","0.550"
"1","bids","4","53,928","10.895","1.590"
"1","bier","4","240","5.481","0.040"
"1","biers","5","7","1.946","#"
"1","biff","4","971","6.878","2.940"
"1","big","3","178,681","12.093","682.820"
"1","bight","5","40","3.689","0.140"
"1","bights","6","10","2.303","#"
"1","bike","4","22,527","10.022","25.880"
"1","bikes","5","5,319","8.579","2.840"
"1","bile","4","1,616","7.388","0.780"
"1","bilge","5","323","5.778","1.100"
"1","bilk","4","108","4.682","0.100"
"1","bilked","6","35","3.555","0.140"
"1","bilks","5","1","0.000","0.020"
"1","bill","4","116,919","11.669","118.450"
"1","bills","5","10,428","9.252","21.490"
"1","bin","3","15,831","9.670","5.370"
"1","bind","4","6,800","8.825","3.350"
"1","binds","5","820","6.709","0.750"
"1","bine","4","135","4.905","#"
"1","binge","5","291","5.673","0.920"
"1","bins","4","716","6.574","0.760"
"1","birch","5","1,373","7.225","1.550"
"1","bird","4","19,070","9.856","45.450"
"1","birds","5","14,487","9.581","25.880"
"1","birth","5","23,367","10.059","27.550"
"1","births","6","1,050","6.957","0.570"
"1","bisque","6","110","4.700","0.390"
"1","bit","3","159,206","11.978","235.040"
"1","bitch","5","9,406","9.149","168.800"
"1","bite","4","8,162","9.007","40.780"
"1","bits","4","23,833","10.079","10.760"
"1","biz","3","3,985","8.290","1.860"
"1","blab","4","109","4.691","0.570"
"1","blabbed","7","33","3.497","0.240"
"1","blabs","5","16","2.773","0.080"
"1","black","5","160,756","11.988","167.940"
"1","blade","5","9,592","9.169","13.000"
"1","blades","6","4,321","8.371","3.250"
"1","blah","4","12,804","9.458","13.450"
"1","blame","5","17,326","9.760","58.780"
"1","blamed","6","2,789","7.933","5.630"
"1","blames","6","685","6.529","2.060"
"1","blanch","6","92","4.522","0.250"
"1","blanched","8","104","4.644","0.100"
"1","bland","5","1,678","7.425","1.080"
"1","blank","5","15,240","9.632","9.710"
"1","blare","5","48","3.871","0.390"
"1","blared","6","69","4.234","0.020"
"1","blares","6","17","2.833","1.040"
"1","blast","5","18,943","9.849","16.180"
"1","blasts","6","1,449","7.279","0.920"
"1","blaze","5","4,591","8.432","2.100"
"1","blazed","6","167","5.118","0.330"
"1","bleach","6","1,319","7.185","2.310"
"1","bleached","8","250","5.521","0.960"
"1","bleak","5","723","6.583","1.080"
"1","bleat","5","128","4.852","0.120"
"1","bleats","6","46","3.829","0.080"
"1","bled","4","530","6.273","3.940"
"1","bleed","5","2,526","7.834","10.100"
"1","bleeds","6","520","6.254","1.470"
"1","bleep","5","128","4.852","2.670"
"1","bleeps","6","53","3.970","0.670"
"1","blench","6","13","2.565","#"
"1","blend","5","3,255","8.088","4.270"
"1","blends","6","659","6.491","0.270"
"1","bless","5","3,927","8.276","35.060"
"1","blessed","7","5,749","8.657","13.800"
"1","blew","4","5,337","8.582","31.570"
"1","blight","6","1,971","7.586","0.570"
"1","blights","7","72","4.277","0.060"
"1","blimp","5","317","5.759","1.040"
"1","Blimps","6","66","4.190","0.220"
"1","blind","5","13,559","9.515","45.820"
"1","blink","5","2,056","7.629","5.060"
"1","blinked","7","560","6.328","1.270"
"1","blinks","6","433","6.071","0.590"
"1","blip","4","323","5.778","0.800"
"1","blips","5","103","4.635","0.100"
"1","bliss","5","2,218","7.704","3.140"
"1","blithe","6","197","5.283","0.220"
"1","blitz","5","1,456","7.283","1.250"
"1","bloat","5","564","6.335","0.510"
"1","bloats","6","16","2.773","0.080"
"1","blob","4","1,170","7.065","1.180"
"1","blobs","5","417","6.033","0.290"
"1","bloc","4","924","6.829","0.940"
"1","block","5","33,257","10.412","40.530"
"1","blocks","6","14,411","9.576","15.000"
"1","blocs","5","122","4.804","0.040"
"1","bloke","5","886","6.787","4.670"
"1","blokes","6","191","5.252","1.430"
"1","blond","5","3,228","8.080","10.450"
"1","blonde","6","6,624","8.798","13.920"
"1","blood","5","51,801","10.855","186.120"
"1","bloods","6","167","5.118","0.860"
"1","bloom","5","3,773","8.236","5.510"
"1","bloomed","7","122","4.804","0.200"
"1","blooms","6","680","6.522","0.690"
"1","blot","4","529","6.271","0.940"
"1","blotch","6","75","4.317","0.200"
"1","blots","5","141","4.949","0.160"
"1","blouse","6","1,685","7.430","5.330"
"1","blow","4","16,920","9.736","97.570"
"1","blows","5","4,716","8.459","15.550"
"1","blue","4","89,005","11.396","102.390"
"1","blues","5","12,589","9.441","10.250"
"1","bluff","5","1,101","7.004","6.220"
"1","bluffs","6","260","5.561","0.450"
"1","blunt","5","1,713","7.446","4.900"
"1","blur","4","1,628","7.395","2.140"
"1","blurb","5","1,710","7.444","0.250"
"1","blurred","7","695","6.544","0.730"
"1","blurs","5","146","4.984","0.040"
"1","blush","5","1,254","7.134","2.670"
"1","blushed","7","933","6.838","0.140"
"1","boar","4","414","6.026","2.180"
"1","board","5","79,617","11.285","64.160"
"1","boards","6","23,212","10.052","4.350"
"1","boars","5","1,585","7.368","0.240"
"1","boast","5","958","6.865","1.060"
"1","boasts","6","731","6.594","0.310"
"1","boat","4","15,857","9.671","95.780"
"1","boats","5","5,615","8.633","11.750"
"1","bob","3","63,942","11.066","91.490"
"1","bobbed","6","216","5.375","0.180"
"1","bobs","4","557","6.323","0.240"
"1","bock","4","941","6.847","0.390"
"1","bocks","5","93","4.533","0.020"
"1","bod","3","763","6.637","0.750"
"1","bode","4","601","6.399","0.470"
"1","bog","3","6,275","8.744","0.960"
"1","boil","4","3,837","8.252","5.940"
"1","boiled","6","1,941","7.571","3.310"
"1","boils","5","1,551","7.347","2.000"
"1","bold","4","5,486","8.610","7.550"
"1","bole","4","135","4.905","#"
"1","boles","5","223","5.407","0.040"
"1","boll","4","139","4.934","0.180"
"1","bolls","5","13","2.565","#"
"1","bolt","4","7,295","8.895","6.880"
"1","bolts","5","3,106","8.041","2.180"
"1","bomb","4","15,377","9.641","53.650"
"1","bombs","5","6,192","8.731","14.270"
"1","bond","4","12,955","9.469","31.270"
"1","bonds","5","7,818","8.964","6.670"
"1","bone","4","16,063","9.684","26.060"
"1","bones","5","7,197","8.881","30.610"
"1","boo","3","1,539","7.339","11.690"
"1","book","4","190,905","12.160","176.980"
"1","books","5","111,046","11.618","67.760"
"1","boom","4","4,284","8.363","21.800"
"1","booms","5","416","6.031","0.220"
"1","boon","4","2,284","7.734","2.120"
"1","boons","5","60","4.094","#"
"1","boor","4","162","5.088","0.060"
"1","boors","5","29","3.367","0.120"
"1","boos","4","187","5.231","0.160"
"1","boost","5","4,758","8.468","4.510"
"1","boosts","6","322","5.775","0.220"
"1","boot","4","43,868","10.689","11.140"
"1","booth","5","4,464","8.404","20.370"
"1","booths","6","821","6.711","1.120"
"1","boots","5","10,725","9.280","19.160"
"1","booze","5","962","6.869","10.940"
"1","bop","3","891","6.792","1.840"
"1","bops","4","62","4.127","0.040"
"1","bosh","4","45","3.807","0.270"
"1","boss","4","10,002","9.211","124.290"
"1","botch","5","243","5.493","0.310"
"1","both","4","296,623","12.600","295.330"
"1","bough","5","296","5.690","0.290"
"1","boughs","6","35","3.555","0.350"
"1","bought","6","57,147","10.953","85.530"
"1","bounce","6","4,232","8.350","9.840"
"1","bounced","7","3,458","8.148","2.960"
"1","bound","5","12,725","9.451","18.430"
"1","bourn","5","18","2.890","0.040"
"1","bourse","6","176","5.170","0.060"
"1","bout","4","5,608","8.632","19.100"
"1","bouts","5","522","6.258","0.510"
"1","bow","3","7,503","8.923","20.270"
"1","bowl","4","10,720","9.280","21.450"
"1","bowls","5","1,100","7.003","2.180"
"1","bows","4","1,206","7.095","1.750"
"1","box","3","171,530","12.053","89.750"
"1","boy","3","42,823","10.665","529.820"
"1","boys","4","23,926","10.083","224.160"
"1","bra","3","3,728","8.224","10.920"
"1","brace","5","1,418","7.257","6.250"
"1","bract","5","5","1.609","#"
"1","Brad","4","12,450","9.429","30.220"
"1","brads","5","78","4.357","#"
"1","brag","4","1,165","7.060","3.510"
"1","bragged","7","258","5.553","0.590"
"1","brags","5","213","5.361","0.330"
"1","braid","5","501","6.217","0.940"
"1","braids","6","186","5.226","0.780"
"1","braille","7","528","6.269","0.550"
"1","brain","5","54,113","10.899","77.020"
"1","brains","6","6,642","8.801","27.470"
"1","braise","6","19","2.944","#"
"1","brake","5","6,154","8.725","5.980"
"1","brakes","6","4,661","8.447","6.650"
"1","bran","4","594","6.387","1.310"
"1","branch","6","13,544","9.514","10.080"
"1","brand","5","25,019","10.127","13.960"
"1","brands","6","5,196","8.556","1.020"
"1","brash","5","246","5.505","0.410"
"1","brass","5","12,055","9.397","12.120"
"1","brat","4","1,080","6.985","6.220"
"1","brats","5","315","5.753","1.470"
"1","brave","5","5,524","8.617","31.710"
"1","brawl","5","1,090","6.994","2.120"
"1","brawls","6","84","4.431","0.180"
"1","brawn","5","269","5.595","0.570"
"1","bray","4","761","6.635","0.390"
"1","brayed","6","4","1.386","#"
"1","brays","5","3","1.099","0.180"
"1","braze","5","58","4.060","#"
"1","breach","6","2,604","7.865","6.220"
"1","bread","5","9,063","9.112","28.330"
"1","breadth","7","1,090","6.994","0.430"
"1","breadths","8","3","1.099","#"
"1","break","5","47,766","10.774","221.080"
"1","breast","6","7,545","8.929","8.960"
"1","breasts","7","10,188","9.229","12.430"
"1","breath","6","14,432","9.577","44.920"
"1","breathe","7","3,117","8.045","48.510"
"1","breaths","7","593","6.385","3.100"
"1","breech","6","516","6.246","0.690"
"1","breed","5","15,241","9.632","6.330"
"1","breeds","6","5,486","8.610","1.060"
"1","breeze","6","2,120","7.659","8.040"
"1","breve","5","289","5.666","0.020"
"1","brew","4","2,988","8.002","2.510"
"1","brews","5","587","6.375","0.160"
"1","bribe","5","1,123","7.024","6.040"
"1","bribed","6","239","5.476","1.920"
"1","bribes","6","880","6.780","1.430"
"1","brick","5","3,969","8.286","10.180"
"1","bricks","6","1,693","7.434","3.920"
"1","bride","5","3,676","8.210","24.220"
"1","brides","6","599","6.395","0.920"
"1","bridge","6","19,356","9.871","45.710"
"1","brief","5","19,495","9.878","14.350"
"1","briefs","6","1,284","7.158","0.820"
"1","brig","4","744","6.612","3.040"
"1","bright","6","13,726","9.527","44.410"
"1","brigs","5","20","2.996","#"
"1","brill","5","324","5.781","1.000"
"1","brim","4","395","5.979","0.880"
"1","brims","5","18","2.890","0.040"
"1","brine","5","2,429","7.795","0.310"
"1","bring","5","56,510","10.942","327.160"
"1","brings","6","12,634","9.444","35.120"
"1","brink","5","1,291","7.163","2.490"
"1","brinks","6","40","3.689","0.140"
"1","brisk","5","348","5.852","1.040"
"1","broach","6","231","5.442","0.450"
"1","broached","8","121","4.796","0.250"
"1","broad","5","12,608","9.442","14.730"
"1","brogue","6","26","3.258","0.160"
"1","broil","5","113","4.727","0.290"
"1","broiled","7","175","5.165","0.250"
"1","broils","6","6","1.792","0.020"
"1","broke","5","14,085","9.553","105.000"
"1","Bronx","5","1,144","7.042","6.270"
"1","bronze","6","5,284","8.572","2.800"
"1","brooch","6","66","4.190","1.310"
"1","brood","5","695","6.544","1.080"
"1","broods","6","35","3.555","0.020"
"1","brook","5","2,791","7.934","2.040"
"1","brooks","6","6,896","8.839","8.240"
"1","broom","5","600","6.397","4.760"
"1","brooms","6","78","4.357","0.470"
"1","broth","5","768","6.644","0.880"
"1","broths","6","17","2.833","0.020"
"1","brought","7","39,792","10.591","172.270"
"1","brow","4","804","6.690","1.840"
"1","brown","5","42,129","10.648","60.120"
"1","brows","5","169","5.130","0.240"
"1","bruise","6","456","6.122","3.240"
"1","brunch","6","347","5.849","3.710"
"1","brunt","5","537","6.286","0.490"
"1","brush","5","5,701","8.648","14.160"
"1","brushed","7","1,555","7.349","2.410"
"1","brute","5","2,816","7.943","3.180"
"1","brutes","6","106","4.663","0.530"
"1","buck","4","6,798","8.824","33.750"
"1","bucks","5","11,121","9.317","56.200"
"1","bud","3","5,259","8.568","35.450"
"1","budge","5","509","6.232","2.040"
"1","budged","6","66","4.190","0.120"
"1","buds","4","1,257","7.136","1.760"
"1","buff","4","1,700","7.438","2.490"
"1","bug","3","32,226","10.381","20.940"
"1","bugs","4","18,337","9.817","13.630"
"1","build","5","47,708","10.773","48.080"
"1","builds","6","3,735","8.226","3.510"
"1","built","5","39,879","10.594","41.160"
"1","bulb","4","3,246","8.085","3.920"
"1","bulbs","5","2,127","7.662","1.710"
"1","bulge","5","1,264","7.142","0.940"
"1","bulged","6","189","5.242","0.020"
"1","bulk","4","7,028","8.858","1.900"
"1","bulks","5","15","2.708","0.020"
"1","bull","4","8,305","9.025","27.510"
"1","bulls","5","2,546","7.842","5.180"
"1","bum","3","1,698","7.437","15.430"
"1","bump","4","2,682","7.894","12.350"
"1","bumped","6","2,127","7.662","6.080"
"1","bumps","5","1,780","7.484","3.470"
"1","bums","4","771","6.648","3.730"
"1","bun","3","886","6.787","2.880"
"1","bunch","5","30,310","10.319","58.880"
"1","bung","4","264","5.576","0.290"
"1","bunk","4","1,071","6.976","6.270"
"1","bunks","5","153","5.030","1.080"
"1","buns","4","1,014","6.922","3.780"
"1","bunt","4","186","5.226","0.800"
"1","BURL","4","134","4.898","0.140"
"1","burn","4","12,496","9.433","55.220"
"1","burned","6","7,750","8.955","28.390"
"1","burns","5","6,687","8.808","23.140"
"1","burp","4","466","6.144","1.290"
"1","burps","5","106","4.663","0.410"
"1","burr","4","942","6.848","0.690"
"1","burrs","5","133","4.890","0.060"
"1","burst","5","6,353","8.757","8.530"
"1","bus","3","35,778","10.485","74.180"
"1","bush","4","10,889","9.296","14.120"
"1","BUSS","4","440","6.087","0.180"
"1","bust","4","3,078","8.032","27.570"
"1","busts","5","336","5.817","1.410"
"1","but","3","2,128,964","14.571","4,417.470"
"1","butch","5","1,568","7.358","6.430"
"1","butt","4","10,344","9.244","38.570"
"1","butts","5","1,725","7.453","5.730"
"1","buy","3","130,387","11.778","192.430"
"1","buys","4","4,089","8.316","7.060"
"1","buzz","4","3,746","8.228","15.960"
"1","buzzed","6","311","5.740","0.940"
"1","by","2","1,790,440","14.398","1,340.470"
"1","ca","2","123,660","11.725","2.140"
"1","cab","3","3,387","8.128","35.800"
"1","cabs","4","577","6.358","2.140"
"1","cache","5","28,689","10.264","0.610"
"1","cad","3","8,110","9.001","1.040"
"1","cadge","5","10","2.303","0.020"
"1","cads","4","32","3.466","0.080"
"1","caff","4","21","3.045","0.020"
"1","cage","4","8,498","9.048","20.270"
"1","cake","4","6,250","8.740","45.060"
"1","cakes","5","1,339","7.200","5.710"
"1","calf","4","1,478","7.298","2.960"
"1","call","4","241,962","12.397","861.390"
"1","called","6","187,701","12.143","340.020"
"1","calls","5","46,308","10.743","80.330"
"1","calm","4","6,300","8.748","89.040"
"1","calve","5","29","3.367","#"
"1","calves","6","972","6.879","1.610"
"1","cam","3","3,831","8.251","3.780"
"1","came","4","115,002","11.653","463.730"
"1","camp","4","15,938","9.676","51.220"
"1","camps","5","6,192","8.731","3.760"
"1","cams","4","475","6.163","0.450"
"1","cane","4","5,405","8.595","8.330"
"1","canes","5","610","6.413","0.430"
"1","cant","4","9,752","9.185","2.330"
"1","cants","5","19","2.944","#"
"1","cap","3","13,881","9.538","18.750"
"1","cape","4","5,458","8.605","8.240"
"1","capes","5","134","4.898","0.310"
"1","caps","4","6,565","8.790","2.960"
"1","car","3","86,253","11.365","483.060"
"1","card","4","222,822","12.314","85.430"
"1","cards","5","235,985","12.372","48.020"
"1","care","4","104,469","11.557","485.250"
"1","cared","5","3,291","8.099","14.180"
"1","cares","5","11,474","9.348","39.670"
"1","carp","4","652","6.480","0.760"
"1","cars","4","31,247","10.350","45.630"
"1","cart","4","5,925","8.687","9.040"
"1","carts","5","3,349","8.116","1.880"
"1","carve","5","861","6.758","3.100"
"1","carved","6","1,268","7.145","3.860"
"1","carves","6","106","4.663","0.160"
"1","case","4","199,506","12.204","282.410"
"1","cash","4","39,508","10.584","72.430"
"1","cask","4","248","5.513","0.120"
"1","casks","5","118","4.771","0.160"
"1","casque","6","7","1.946","#"
"1","caste","5","1,616","7.388","0.860"
"1","castes","6","437","6.080","#"
"1","casts","5","1,657","7.413","0.980"
"1","cat","3","38,649","10.562","66.330"
"1","catch","5","22,587","10.025","135.510"
"1","cats","4","17,763","9.785","19.730"
"1","caught","6","22,729","10.031","93.940"
"1","caul","4","38","3.638","#"
"1","cause","5","79,705","11.286","310.040"
"1","caused","6","30,419","10.323","25.840"
"1","cave","4","7,507","8.924","13.980"
"1","caves","5","2,774","7.928","3.960"
"1","caw","3","224","5.412","0.370"
"1","cease","5","3,892","8.267","8.730"
"1","ceased","6","1,840","7.518","1.330"
"1","cede","4","233","5.451","0.120"
"1","cell","4","16,077","9.685","54.350"
"1","cells","5","28,772","10.267","11.960"
"1","Celt","4","153","5.030","0.080"
"1","Celts","5","837","6.730","0.120"
"1","cense","5","9","2.197","#"
"1","cent","4","6,305","8.749","9.470"
"1","cents","5","29,830","10.303","21.840"
"1","cert","4","1,616","7.388","0.060"
"1","chafe","5","78","4.357","0.250"
"1","chafed","6","77","4.344","0.100"
"1","chafes","6","55","4.007","0.120"
"1","chaff","5","431","6.066","0.220"
"1","chain","5","23,315","10.057","21.220"
"1","chains","6","7,004","8.854","7.590"
"1","chair","5","18,589","9.830","49.240"
"1","chairs","6","3,114","8.044","9.880"
"1","chaise","6","75","4.317","0.290"
"1","chalk","5","1,662","7.416","3.590"
"1","chalks","6","31","3.434","0.020"
"1","champ","5","2,536","7.838","15.120"
"1","champs","6","1,541","7.340","1.100"
"1","chance","6","58,965","10.985","241.240"
"1","change","6","157,119","11.965","240.350"
"1","chant","5","5,188","8.554","2.270"
"1","chants","6","663","6.497","0.650"
"1","chap","4","1,620","7.390","6.350"
"1","chaps","5","470","6.153","2.570"
"1","char","4","19,943","9.901","1.410"
"1","chard","5","181","5.198","0.100"
"1","chards","6","6","1.792","#"
"1","charge","6","45,281","10.721","89.390"
"1","charm","5","3,829","8.250","15.570"
"1","charms","6","674","6.513","3.390"
"1","charred","7","332","5.805","0.750"
"1","chars","5","1,804","7.498","#"
"1","chart","5","10,661","9.274","9.470"
"1","charts","6","6,976","8.850","6.530"
"1","chase","5","9,066","9.112","32.800"
"1","chaste","6","340","5.829","0.590"
"1","chat","4","11,998","9.392","16.270"
"1","chats","5","470","6.153","0.430"
"1","chaw","4","26","3.258","0.200"
"1","chaws","5","0","0.000","#"
"1","cheap","5","34,326","10.444","36.240"
"1","cheat","5","6,137","8.722","17.670"
"1","cheats","6","2,577","7.854","2.140"
"1","check","5","170,581","12.047","278.980"
"1","checked","7","22,266","10.011","46.710"
"1","checks","6","26,846","10.198","14.880"
"1","cheek","5","3,555","8.176","7.160"
"1","cheeks","6","3,525","8.168","4.410"
"1","cheep","5","707","6.561","0.120"
"1","cheeps","6","8","2.079","#"
"1","cheer","5","1,904","7.552","18.690"
"1","cheers","6","9,995","9.210","22.710"
"1","cheese","6","8,662","9.067","39.040"
"1","chef","4","1,418","7.257","11.880"
"1","chefs","5","307","5.727","1.020"
"1","chess","5","11,301","9.333","7.450"
"1","chest","5","13,012","9.474","40.980"
"1","chests","6","530","6.273","1.020"
"1","chew","4","2,861","7.959","9.060"
"1","chewed","6","804","6.690","2.470"
