,word,ort,pho,wf,img,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,gr10,gr11,gr12,gr13,gr14
18,ailed,___ailed__,___eld____,2.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
19,ails,___ails___,___elz____,24.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
20,aim,___aim____,___em_____,947.0,3.9,0.0,0.0,0.0,0.0,0.0,0.21536599999999997,0.206499,0.21484299999999998,0.22966,0.23594299999999999,0.22912800000000003,0.24760900000000002,0.294643,0.294643
21,aimed,___aimed__,___emd____,3295.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.18648699999999999,0.18631099999999998,0.18618900000000002,0.196442,0.20569099999999998,0.229066,0.284114,0.284114
22,aims,___aims___,___emz____,619.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981393,0.16001500000000002,0.263229,0.263229
23,air,___air____,___Er_____,15555.0,4.0,0.0,0.558912,0.569705,0.5775680000000001,0.57875,0.5777720000000001,0.5796140000000001,0.578082,0.578266,0.573098,0.569483,0.560207,0.510504,0.510504
24,airs,___airs___,___Erz____,89.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
25,aisle,___aisle__,___Al_____,81.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16043,0.14389100000000002,0.160058,0.16001500000000002,0.0619664,0.0619664
26,aisles,___aisles_,___Alz____,75.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981393,0.123805,0.0982145,0.0982145
27,ale,___a_le___,___el_____,92.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
28,ales,___a_les__,___elz____,9.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
29,all,___a_ll___,___al_____,62510.0,2.3,0.763649,0.7636539999999999,0.755484,0.749787,0.739916,0.7345109999999999,0.7311529999999999,0.7277100000000001,0.724973,0.720195,0.716011,0.712757,0.701124,0.701124
30,alms,___a_lms__,___almz___,9.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
31,alp,___a_lp___,___@lp____,3.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
32,alps,___a_lps__,___@lps___,64.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.174512,0.16053599999999998,0.174233,0.160191,0.143772,0.173782,0.0982145,0.0982145
33,am,___a_m____,___@m_____,6097.0,1.8,0.647454,0.586626,0.541632,0.531954,0.491674,0.46983,0.45898900000000004,0.454157,0.445607,0.429501,0.41989499999999996,0.401861,0.306994,0.306994
34,amp,___a_mp___,___@mp____,58.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
35,an,___a_n____,___@n_____,182440.0,1.2,0.0,0.663221,0.684009,0.690288,0.7076899999999999,0.715016,0.719092,0.722367,0.725326,0.731557,0.733364,0.7378279999999999,0.750524,0.750524
36,and,___a_nd___,___@nd____,909157.0,1.3,0.901476,0.9164260000000001,0.9221030000000001,0.9226639999999999,0.922286,0.921262,0.920474,0.9198059999999999,0.919185,0.916998,0.915791,0.9144180000000001,0.919542,0.919542
37,angst,___a_ngst_,___@ngst__,68.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
38,ant,___a_nt___,___@nt____,18.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981393,0.123805,0.0,0.05
39,ants,___a_nts__,___@nts___,29.0,4.194245614035086,0.0,0.0,0.0,0.0,0.26029800000000003,0.243222,0.242862,0.22263899999999998,0.21470300000000003,0.21438200000000002,0.20569099999999998,0.20563499999999998,0.14388199999999998,0.14388199999999998
40,ape,___a_pe___,___ep_____,18.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981393,0.123805,0.14388199999999998,0.14388199999999998
41,apes,___a_pes__,___eps____,10.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14410599999999998,0.14389100000000002,0.160058,0.16001500000000002,0.17396199999999998,0.17396199999999998
42,apse,___a_pse__,___@ps____,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
43,apt,___a_pt___,___@pt____,239.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.18648699999999999,0.18631099999999998,0.20616900000000002,0.222162,0.221977,0.22191799999999998,0.253285,0.253285
44,arc,___a_rc___,___ark____,245.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16053599999999998,0.174233,0.173973,0.160058,0.18570699999999998,0.17396199999999998,0.17396199999999998
45,arch,___a_rch__,___arC____,184.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196864,0.196735,0.229318,0.235748,0.241846,0.14388199999999998,0.14388199999999998
46,arcs,___a_rcs__,___arks___,16.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
47,are,___a_re___,___ar_____,177808.0,1.3,0.7731819999999999,0.7560359999999999,0.763638,0.7663,0.7721779999999999,0.775722,0.7775770000000001,0.779656,0.782031,0.786161,0.788311,0.793525,0.804741,0.804741
48,ark,___a_rk___,___ark____,446.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981393,0.09811289999999999,0.0,0.05
49,arks,___a_rks__,___arks___,4.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
50,arm,___a_rm___,___arm____,1912.0,6.8,0.0,0.486284,0.463894,0.45322299999999993,0.43973,0.42923500000000003,0.42395900000000003,0.417828,0.41411099999999995,0.39823800000000004,0.388033,0.37141399999999997,0.294643,0.294643
51,arms,___a_rms__,___armz___,6684.0,4.194245614035086,0.0,0.464992,0.46666499999999994,0.465445,0.44630699999999995,0.443188,0.434434,0.43402299999999994,0.42940500000000004,0.423437,0.41658599999999996,0.405744,0.3515,0.3515
52,arse,___a_rse__,___ars____,1.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
53,art,___a_rt___,___art____,3920.0,4.6,0.0,0.0,0.0,0.328387,0.329929,0.349542,0.339372,0.330511,0.334663,0.356633,0.359586,0.380684,0.403265,0.403265
54,arts,___a_rts__,___arts___,1109.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196864,0.20616900000000002,0.23594299999999999,0.258198,0.28381999999999996,0.344198,0.344198
55,as,___a_s____,___@z_____,255899.0,1.4,0.7119,0.752158,0.769342,0.775483,0.783482,0.786647,0.787198,0.7884329999999999,0.789642,0.7919390000000001,0.793081,0.79565,0.805662,0.805662
56,ash,___a_sh___,___@S_____,165.0,5.7,0.0,0.0,0.0,0.0,0.0,0.243222,0.254087,0.253846,0.25879800000000003,0.272194,0.258198,0.241846,0.0982145,0.0982145
57,ask,___a_sk___,___@sk____,3500.0,2.7,0.0,0.531654,0.509452,0.499555,0.48324300000000003,0.46983,0.46471,0.45855500000000005,0.458255,0.451479,0.445187,0.44003400000000004,0.393955,0.393955
58,asked,___a_sked_,___@skt___,10178.0,4.194245614035086,0.724916,0.688388,0.6463300000000001,0.623546,0.571152,0.545655,0.5366479999999999,0.526625,0.51564,0.49435500000000004,0.48302399999999995,0.46764700000000003,0.42182700000000006,0.42182700000000006
59,asks,___a_sks__,___@sks___,1711.0,4.194245614035086,0.0,0.0,0.0,0.0,0.269787,0.264454,0.268662,0.272779,0.25879800000000003,0.25330199999999997,0.24767600000000004,0.24760900000000002,0.22214699999999998,0.22214699999999998
60,asp,___a_sp___,___@sp____,2.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
61,asps,___a_sps__,___@sps___,0.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
62,ass,___a_ss___,___@s_____,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
63,at,___a_t____,___@t_____,241045.0,1.4,0.796866,0.791029,0.785166,0.780185,0.771203,0.766412,0.763942,0.7615569999999999,0.7593479999999999,0.7544270000000001,0.751649,0.745935,0.7261029999999999,0.7261029999999999
64,ate,___a_te___,___et_____,156.0,3.9,0.0,0.475429,0.450585,0.44196499999999994,0.411051,0.39244,0.381011,0.365333,0.357165,0.325216,0.312344,0.26753699999999997,0.205848,0.205848
65,aught,___aught__,___at_____,0.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
66,aunt,___aunt___,___ant____,112.0,6.2,0.0,0.48127299999999995,0.45378500000000005,0.436891,0.395751,0.38410700000000003,0.371562,0.369777,0.357165,0.338323,0.320117,0.276049,0.0619664,0.0619664
67,aunts,___aunts__,___ants___,9.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16053599999999998,0.16043,0.14389100000000002,0.143772,0.123805,0.0,0.05
68,awe,___awe____,___a______,67.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16053599999999998,0.16043,0.173973,0.17382899999999998,0.173782,0.14388199999999998,0.14388199999999998
69,awes,___awes___,___az_____,1.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
70,awl,___awl____,___al_____,0.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
71,awls,___awls___,___alz____,0.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
72,awn,___awn____,___an_____,0.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
73,ax,___a_x____,___@ks____,106.0,6.2,0.0,0.0,0.0,0.0,0.22378299999999998,0.0,0.19705,0.22263899999999998,0.20616900000000002,0.196442,0.17382899999999998,0.143733,0.0619664,0.0619664
74,axe,___a_xe___,___@ks____,17.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981393,0.09811289999999999,0.0,0.05
75,aye,___aye____,___A______,4.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
76,babe,__ba_be___,__beb_____,38.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0619023,0.0,0.05
77,babes,__ba_bes__,__bebz____,12.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
78,back,__ba_ck___,__b@k_____,23300.0,5.0,0.705649,0.702565,0.68269,0.674303,0.65405,0.6410319999999999,0.632963,0.625807,0.6173350000000001,0.6002770000000001,0.591254,0.573491,0.504695,0.504695
79,bad,__ba_d____,__b@d_____,5766.0,2.4,0.0,0.529231,0.49858500000000006,0.489263,0.46251400000000004,0.455825,0.45230200000000004,0.448337,0.44498699999999997,0.43986800000000004,0.43412799999999996,0.417312,0.38833,0.38833
80,badge,__ba_dge__,__b@J_____,78.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0619023,0.0,0.05
81,bag,__ba_g____,__b@g_____,628.0,6.4,0.0,0.47651899999999997,0.44025200000000003,0.43837,0.386386,0.370677,0.349024,0.336991,0.340841,0.315272,0.30080100000000004,0.276049,0.185899,0.185899
82,bags,__ba_gs___,__b@gz____,725.0,4.194245614035086,0.0,0.0,0.0,0.31798200000000004,0.303248,0.285436,0.268662,0.276947,0.276766,0.25330199999999997,0.24767600000000004,0.235684,0.14388199999999998,0.14388199999999998
83,bail,__bail____,__bel_____,516.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
84,bails,__bails___,__belz____,6.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
85,bait,__bait____,__bet_____,187.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.19705,0.196864,0.18618900000000002,0.160191,0.143772,0.09811289999999999,0.0982145,0.0982145
86,baits,__baits___,__bets____,7.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
87,bake,__ba_ke___,__bek_____,34.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.174512,0.174347,0.0,0.12394100000000001,0.0981393,0.0,0.0,0.05
88,baked,__ba_ked__,__bekt____,162.0,4.194245614035086,0.0,0.0,0.0,0.0,0.255151,0.24901900000000002,0.24865,0.24263200000000001,0.236296,0.222162,0.214205,0.18570699999999998,0.0619664,0.0619664
89,bakes,__ba_kes__,__beks____,71.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
90,bald,__ba_ld___,__bald____,103.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.18648699999999999,0.196864,0.18618900000000002,0.185911,0.185757,0.16001500000000002,0.0619664,0.0619664
91,bale,__ba_le___,__bel_____,11.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
92,bales,__ba_les__,__belz____,252.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0619023,0.0,0.05
93,balk,__ba_lk___,__balk____,126.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
94,balked,__ba_lked_,__balkt___,292.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
95,balks,__ba_lks__,__balks___,31.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
96,ball,__ba_ll___,__bal_____,1393.0,6.6,0.0,0.530147,0.503088,0.487571,0.468161,0.45693999999999996,0.45345100000000005,0.442754,0.44246499999999994,0.41860299999999995,0.40773400000000004,0.386761,0.306994,0.306994
97,balls,__ba_lls__,__balz____,196.0,4.194245614035086,0.0,0.0,0.0,0.0,0.27837,0.25446399999999997,0.242862,0.22981100000000002,0.242473,0.242112,0.24191100000000001,0.253023,0.229303,0.229303
98,balm,__ba_lm___,__bam_____,31.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
99,balms,__ba_lms__,__bamz____,0.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
100,ban,__ba_n____,__b@n_____,2298.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09811289999999999,0.205848,0.205848
101,band,__ba_nd___,__b@nd____,900.0,6.0,0.0,0.0,0.0,0.337723,0.354088,0.366222,0.362587,0.362244,0.36659899999999995,0.36455,0.367225,0.35788000000000003,0.291269,0.291269
102,bands,__ba_nds__,__b@ndz___,163.0,4.194245614035086,0.0,0.0,0.0,0.0,0.269787,0.273443,0.281196,0.268407,0.268232,0.267832,0.26761,0.28381999999999996,0.267814,0.267814
103,bane,__ba_ne___,__ben_____,38.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
104,banes,__ba_nes__,__benz____,1.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
105,bang,__ba_ng___,__b@ng____,346.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16053599999999998,0.16043,0.173973,0.17382899999999998,0.16001500000000002,0.0982145,0.0982145
106,banged,__ba_nged_,__b@ngd___,17.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16043,0.14389100000000002,0.12383800000000002,0.09811289999999999,0.0,0.05
107,bangs,__ba_ngs__,__b@ngz___,20.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
108,bank,__ba_nk___,__b@nk____,53170.0,6.1,0.0,0.0,0.383389,0.381019,0.375933,0.380285,0.381011,0.393728,0.396726,0.401304,0.40679899999999997,0.423752,0.413466,0.413466
109,banks,__ba_nks__,__b@nks___,24293.0,4.194245614035086,0.0,0.0,0.0,0.29973299999999997,0.309254,0.32185199999999997,0.328554,0.334882,0.33250599999999997,0.340332,0.352966,0.37141399999999997,0.404242,0.404242
110,bans,__ba_ns___,__b@nz____,263.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
111,bar,__ba_r____,__bar_____,2199.0,6.1,0.0,0.0,0.0,0.333175,0.34079299999999996,0.285436,0.288673,0.2884,0.295103,0.291288,0.309595,0.31226,0.276335,0.276335
112,barb,__ba_rb___,__barb____,19.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
113,barbs,__ba_rbs__,__barbz___,43.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
114,bard,__ba_rd___,__bard____,68.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
115,bards,__ba_rds__,__bardz___,2.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
116,bare,__ba_re___,__bEr_____,261.0,3.9,0.0,0.0,0.0,0.34618899999999997,0.348629,0.35135700000000003,0.349024,0.348694,0.340841,0.329802,0.309595,0.297586,0.205848,0.205848
117,barge,__ba_rge__,__barJ____,170.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12394100000000001,0.12383800000000002,0.0619023,0.0,0.05
118,bark,__ba_rk___,__bark____,61.0,5.0,0.0,0.0,0.0,0.330813,0.33220900000000003,0.33569699999999997,0.33082399999999995,0.321071,0.315743,0.304082,0.297667,0.280019,0.205848,0.205848
119,barked,__ba_rked_,__barkt___,9.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
120,barks,__ba_rks__,__barks___,19.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
121,barn,__ba_rn___,__barn____,161.0,6.9,0.0,0.0,0.399559,0.390187,0.360888,0.339875,0.333039,0.31595,0.29835900000000004,0.267832,0.253092,0.20563499999999998,0.0619664,0.0619664
122,barns,__ba_rns__,__barnz___,31.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.18648699999999999,0.196864,0.196735,0.196442,0.185757,0.16001500000000002,0.0619664,0.0619664
123,bars,__ba_rs___,__barz____,767.0,4.194245614035086,0.0,0.0,0.0,0.0,0.27418000000000003,0.292625,0.288673,0.28093,0.268232,0.258412,0.271968,0.26753699999999997,0.214369,0.214369
124,base,__ba_se___,__bes_____,6018.0,4.4,0.0,0.0,0.0,0.32069699999999995,0.334433,0.35135700000000003,0.359383,0.371211,0.37911300000000003,0.381102,0.391448,0.397801,0.408973,0.408973
125,based,__ba_sed__,__best____,53865.0,4.194245614035086,0.0,0.0,0.0,0.0,0.312114,0.329041,0.347175,0.362244,0.377806,0.40426799999999996,0.410483,0.436064,0.493968,0.493968
126,bash,__ba_sh___,__b@S_____,114.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
127,bask,__ba_sk___,__b@sk____,21.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
128,basked,__ba_sked_,__b@skt___,10.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
129,basks,__ba_sks__,__b@sks___,1.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
130,bast,__ba_st___,__b@st____,4.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
131,baste,__ba_ste__,__best____,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
132,bastes,__ba_stes_,__bests___,0.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
133,bat,__ba_t____,__b@t_____,1468.0,6.2,0.0,0.0,0.0,0.0,0.282373,0.26905999999999997,0.259213,0.23645100000000002,0.22966,0.185911,0.143772,0.123805,0.0982145,0.0982145
134,batch,__ba_tch__,__b@tC____,182.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16043,0.160191,0.160058,0.16001500000000002,0.0982145,0.0982145
135,bate,__ba_te___,__bet_____,1.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
136,bath,__ba_th___,__b@T_____,272.0,6.0,0.0,0.0,0.0,0.0,0.249691,0.24901900000000002,0.24865,0.253846,0.236296,0.229318,0.22912800000000003,0.229066,0.196429,0.196429
137,bathe,__ba_the__,__beD_____,17.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981393,0.09811289999999999,0.0619664,0.0619664
138,bathed,__ba_thed_,__beDd____,34.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.18648699999999999,0.196864,0.196735,0.185911,0.17382899999999998,0.143733,0.0,0.05
139,bathes,__ba_thes_,__beDz____,7.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
140,baths,__ba_ths__,__b@Dz____,47.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14410599999999998,0.160191,0.17382899999999998,0.173782,0.12393299999999999,0.12393299999999999
141,bats,__ba_ts___,__b@ts____,79.0,4.194245614035086,0.0,0.0,0.0,0.0,0.230992,0.243222,0.259213,0.24263200000000001,0.242473,0.222162,0.196279,0.143733,0.0619664,0.0619664
142,bawl,__bawl____,__bal_____,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
143,bawled,__bawled__,__bald____,0.0,4.194245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
